device_id,connection_date,connection_time
332,1/1/2023,18:43:16
802,1/3/2023,02:54:25
631,1/3/2023,21:01:33
301,1/20/2023,10:25:47
235,1/6/2023,04:13:48
866,3/29/2023,15:31:47
107,2/10/2023,14:10:51
587,3/8/2023,13:46:23
886,2/1/2023,11:00:44
183,1/16/2023,02:54:43
31,3/21/2023,12:24:30
261,2/28/2023,08:51:58
274,1/19/2023,19:30:47
863,3/12/2023,23:59:09
924,2/12/2023,15:45:20
906,2/19/2023,09:27:20
354,1/22/2023,22:44:36
71,2/24/2023,07:59:48
932,1/11/2023,01:27:35
589,3/26/2023,06:01:14
792,1/30/2023,10:04:09
130,2/13/2023,03:20:48
61,1/11/2023,10:56:42
455,3/19/2023,21:57:48
89,3/17/2023,08:11:25
683,2/11/2023,06:04:22
343,1/5/2023,10:54:32
556,3/3/2023,22:10:40
302,1/2/2023,08:28:53
834,1/2/2023,00:43:27
821,1/10/2023,12:58:00
107,2/18/2023,09:05:57
866,3/1/2023,04:14:55
3,3/27/2023,02:07:51
725,1/30/2023,04:45:30
115,1/5/2023,02:31:21
582,1/13/2023,14:44:22
428,3/15/2023,10:46:28
216,1/21/2023,02:21:52
321,2/1/2023,14:18:06
910,3/2/2023,15:49:46
579,1/1/2023,00:15:49
890,1/19/2023,19:19:59
276,1/6/2023,09:33:44
465,3/11/2023,14:05:46
958,2/5/2023,22:21:22
220,2/22/2023,15:08:42
690,1/11/2023,10:18:57
130,1/15/2023,09:56:01
561,1/25/2023,11:18:37
59,2/19/2023,14:47:41
270,1/20/2023,12:42:57
615,1/26/2023,19:59:39
108,1/4/2023,08:55:56
486,1/20/2023,15:03:19
816,2/14/2023,05:18:54
827,1/22/2023,19:57:19
461,1/1/2023,20:24:50
553,1/23/2023,13:37:51
710,2/6/2023,02:29:17
493,3/17/2023,00:07:59
742,3/25/2023,20:28:55
355,3/16/2023,21:32:19
719,2/22/2023,23:34:30
837,1/4/2023,00:16:03
202,3/10/2023,05:10:48
992,2/28/2023,11:44:57
75,1/14/2023,19:47:33
742,2/13/2023,13:51:30
539,3/24/2023,16:41:24
729,2/14/2023,10:56:16
120,3/9/2023,07:26:55
503,2/6/2023,09:34:40
598,3/2/2023,15:04:12
379,2/19/2023,14:19:45
935,3/16/2023,22:19:41
253,2/23/2023,22:32:11
246,2/19/2023,14:23:40
127,1/11/2023,16:37:31
535,2/7/2023,17:28:38
112,1/6/2023,08:04:38
332,3/20/2023,01:36:40
35,1/21/2023,10:01:10
416,1/20/2023,22:22:53
559,2/25/2023,17:49:08
785,1/31/2023,02:00:20
20,3/27/2023,13:28:19
581,3/29/2023,19:23:24
917,2/20/2023,05:13:32
860,2/1/2023,05:50:43
97,1/11/2023,00:39:37
40,3/17/2023,08:15:59
604,3/21/2023,10:06:20
645,3/3/2023,09:00:58
921,1/1/2023,03:47:53
574,2/25/2023,17:36:56
55,2/15/2023,13:36:26
302,2/20/2023,14:16:35
228,3/13/2023,21:15:47
64,3/23/2023,22:22:06
273,2/3/2023,10:28:20
572,2/19/2023,09:35:43
484,3/28/2023,17:32:49
243,1/28/2023,14:52:58
999,2/21/2023,12:01:59
843,3/13/2023,23:04:41
105,2/27/2023,14:51:13
146,3/30/2023,07:44:07
781,3/15/2023,06:40:17
132,3/14/2023,06:06:42
343,3/19/2023,19:20:16
673,2/11/2023,01:04:34
669,3/23/2023,21:15:04
561,1/13/2023,19:51:27
312,2/6/2023,11:29:41
607,4/1/2023,10:27:15
990,2/7/2023,15:41:06
396,1/14/2023,00:26:21
954,3/27/2023,13:07:14
431,2/17/2023,05:20:18
965,1/7/2023,22:09:55
820,3/17/2023,03:04:25
998,1/17/2023,09:03:12
306,3/24/2023,02:52:28
411,2/11/2023,20:39:33
22,3/26/2023,17:31:53
961,3/4/2023,18:23:06
636,1/9/2023,21:06:56
982,1/4/2023,01:31:29
587,3/5/2023,14:55:03
44,2/10/2023,20:06:40
297,3/25/2023,06:00:07
391,1/4/2023,02:34:43
35,1/14/2023,01:10:46
617,3/11/2023,10:56:15
998,2/19/2023,16:43:01
693,2/11/2023,03:41:29
753,2/10/2023,07:20:47
238,3/18/2023,12:15:42
965,2/14/2023,23:52:14
970,3/24/2023,11:14:27
972,1/2/2023,22:28:57
744,2/27/2023,19:27:11
341,3/3/2023,21:16:35
541,2/10/2023,18:56:04
947,3/16/2023,21:58:33
587,3/5/2023,09:47:12
761,2/14/2023,01:44:56
958,2/13/2023,10:52:24
733,1/5/2023,19:53:28
133,3/14/2023,04:24:31
46,2/23/2023,06:11:05
931,3/7/2023,21:41:35
61,3/1/2023,21:39:25
942,2/10/2023,11:20:54
751,3/11/2023,14:46:48
178,1/5/2023,00:44:36
882,2/8/2023,01:51:34
479,1/5/2023,02:36:37
550,1/12/2023,20:22:41
54,1/5/2023,17:41:27
76,1/20/2023,06:59:44
68,2/25/2023,08:30:48
26,2/15/2023,17:48:08
611,3/30/2023,03:00:20
633,3/30/2023,15:04:06
971,1/13/2023,10:44:14
802,3/30/2023,02:11:34
572,2/16/2023,09:38:36
434,1/18/2023,21:56:56
924,2/11/2023,07:41:18
536,3/28/2023,14:37:18
164,1/29/2023,17:34:22
840,3/18/2023,06:10:08
14,1/2/2023,21:08:43
65,3/26/2023,19:09:04
230,1/4/2023,00:59:50
963,3/26/2023,12:07:51
157,1/29/2023,07:27:22
254,3/27/2023,21:12:38
25,1/29/2023,12:45:09
435,1/5/2023,10:02:50
945,1/19/2023,05:15:09
997,3/2/2023,17:20:16
712,3/12/2023,06:10:58
337,2/23/2023,11:44:52
643,3/28/2023,20:29:49
267,2/1/2023,14:23:02
10,3/9/2023,06:58:50
94,1/24/2023,16:09:23
18,1/27/2023,06:44:38
833,3/21/2023,12:56:08
70,3/2/2023,06:42:28
981,3/11/2023,08:33:08
481,2/16/2023,13:13:48
727,2/5/2023,02:25:48
986,3/1/2023,18:58:35
206,2/23/2023,21:37:01
263,3/19/2023,13:28:18
466,1/29/2023,18:49:07
632,1/13/2023,05:39:17
734,1/10/2023,03:48:22
556,1/1/2023,21:32:56
17,3/1/2023,13:05:22
107,1/29/2023,15:38:12
47,1/16/2023,21:04:06
383,2/10/2023,05:21:33
856,3/28/2023,12:23:24
762,3/4/2023,19:49:40
881,1/28/2023,01:31:16
482,2/11/2023,13:31:08
810,1/27/2023,10:27:02
548,2/9/2023,15:44:10
496,1/2/2023,19:08:49
677,2/1/2023,03:15:58
904,2/9/2023,20:50:37
433,3/5/2023,18:18:20
158,3/6/2023,22:47:19
856,1/4/2023,13:37:14
509,3/8/2023,05:13:59
694,2/7/2023,17:04:32
490,2/10/2023,00:42:57
744,3/7/2023,13:53:49
138,3/10/2023,14:06:56
207,1/16/2023,02:20:53
742,2/23/2023,05:31:40
427,1/12/2023,03:38:19
490,3/31/2023,05:03:56
473,1/29/2023,14:42:11
353,3/31/2023,01:32:50
345,2/10/2023,06:37:46
849,1/17/2023,13:20:48
659,1/10/2023,01:26:54
808,3/29/2023,12:41:31
24,1/20/2023,19:38:30
61,3/25/2023,22:02:28
508,2/24/2023,02:41:57
781,2/4/2023,18:20:29
59,3/7/2023,17:53:45
836,2/2/2023,17:34:40
720,2/8/2023,14:15:30
32,3/28/2023,03:07:40
781,4/1/2023,08:17:54
803,1/9/2023,14:37:05
83,3/31/2023,20:12:40
558,1/23/2023,06:56:47
925,2/16/2023,17:49:12
803,3/8/2023,15:11:26
636,1/11/2023,21:56:20
161,4/1/2023,03:19:37
871,1/22/2023,15:18:29
301,3/19/2023,03:22:57
695,2/4/2023,01:18:49
585,1/9/2023,05:17:29
401,2/21/2023,13:41:35
177,1/20/2023,13:24:03
20,1/21/2023,18:35:09
315,3/9/2023,07:42:23
672,3/24/2023,12:53:54
993,2/3/2023,19:05:50
76,1/26/2023,12:40:50
5,3/23/2023,10:07:05
431,2/2/2023,21:12:45
145,1/25/2023,10:44:01
537,2/21/2023,12:03:43
975,2/11/2023,20:44:22
834,2/7/2023,17:10:59
71,1/12/2023,16:36:13
355,3/11/2023,12:03:59
826,3/8/2023,21:03:23
628,1/10/2023,15:13:12
957,2/27/2023,21:27:03
357,2/2/2023,01:07:29
464,1/5/2023,10:54:36
240,3/25/2023,20:58:49
23,3/4/2023,19:38:19
456,1/25/2023,19:35:43
449,3/31/2023,08:16:59
573,3/8/2023,12:51:29
959,1/7/2023,12:28:35
689,3/17/2023,00:16:39
52,3/10/2023,21:29:22
249,3/25/2023,17:10:12
565,3/13/2023,18:43:44
364,2/18/2023,22:32:25
897,2/27/2023,01:30:05
408,1/15/2023,23:07:07
565,3/27/2023,08:21:06
341,3/2/2023,13:11:23
542,2/26/2023,22:24:39
676,2/14/2023,11:55:06
90,1/16/2023,14:55:12
273,3/4/2023,06:43:37
560,1/26/2023,07:53:39
440,2/21/2023,14:00:31
290,2/8/2023,01:59:12
73,3/3/2023,22:35:24
384,3/6/2023,21:46:09
456,3/29/2023,08:17:02
854,2/19/2023,05:33:43
618,2/14/2023,12:23:23
500,2/14/2023,20:01:13
813,1/29/2023,22:10:06
567,1/17/2023,14:27:36
242,3/13/2023,23:30:12
820,2/11/2023,04:28:03
963,1/4/2023,01:13:45
75,3/27/2023,06:28:36
317,3/6/2023,07:39:04
183,1/6/2023,22:20:30
291,3/18/2023,12:55:14
95,1/10/2023,10:08:00
451,1/26/2023,04:55:56
117,1/20/2023,13:48:10
347,1/12/2023,23:33:30
959,3/6/2023,04:55:29
98,1/12/2023,06:15:33
837,2/25/2023,19:38:34
300,1/5/2023,12:10:59
691,2/24/2023,10:01:47
318,1/6/2023,06:28:19
998,2/12/2023,12:01:26
390,1/19/2023,16:35:48
454,3/11/2023,02:33:33
894,3/14/2023,20:44:58
461,1/22/2023,23:59:46
99,1/31/2023,22:22:26
65,2/13/2023,20:48:53
932,2/21/2023,17:15:26
565,2/12/2023,22:06:18
544,1/24/2023,23:12:38
588,1/18/2023,12:10:25
188,3/25/2023,10:09:07
853,3/19/2023,01:55:32
909,2/23/2023,22:34:26
330,1/17/2023,04:51:57
85,3/3/2023,21:16:03
125,1/21/2023,09:52:33
734,3/18/2023,22:02:16
236,2/5/2023,11:25:33
158,3/14/2023,01:55:55
883,2/16/2023,02:08:11
786,2/1/2023,04:32:28
562,2/13/2023,19:21:16
646,3/3/2023,21:06:35
552,2/26/2023,06:25:23
92,1/12/2023,08:21:59
207,1/2/2023,23:00:01
266,1/15/2023,05:02:04
997,1/10/2023,09:22:06
494,1/28/2023,00:25:16
352,2/28/2023,08:04:39
754,2/9/2023,11:42:05
374,3/10/2023,18:33:56
906,2/7/2023,21:31:28
475,1/23/2023,01:34:21
862,3/24/2023,03:50:41
557,1/10/2023,00:01:04
893,1/3/2023,01:18:00
571,3/12/2023,14:15:41
965,3/9/2023,05:42:32
60,2/17/2023,11:59:29
960,2/26/2023,17:24:50
369,1/18/2023,12:01:23
441,3/15/2023,04:55:34
113,1/22/2023,22:30:59
802,3/8/2023,05:15:39
273,2/20/2023,23:12:14
733,3/10/2023,03:42:10
354,3/2/2023,04:15:55
625,1/10/2023,10:12:59
271,3/1/2023,06:35:44
337,1/18/2023,06:52:28
753,3/18/2023,07:46:45
216,1/2/2023,06:34:41
933,1/7/2023,16:49:18
1000,2/7/2023,23:37:17
408,1/27/2023,01:55:02
623,2/24/2023,04:10:34
271,3/15/2023,12:57:51
750,1/21/2023,14:42:43
211,2/8/2023,02:05:37
441,3/23/2023,16:31:22
440,1/11/2023,19:53:45
999,3/27/2023,04:54:59
379,3/26/2023,18:59:49
726,2/20/2023,14:57:58
542,1/2/2023,00:08:13
306,2/13/2023,05:20:39
69,2/7/2023,18:47:30
955,2/18/2023,16:31:53
983,2/24/2023,23:31:05
290,1/8/2023,07:03:26
200,3/24/2023,20:00:57
259,1/1/2023,19:55:39
588,2/12/2023,20:16:39
449,3/7/2023,05:17:51
299,3/15/2023,12:19:27
131,1/7/2023,18:29:47
844,3/3/2023,04:40:47
64,2/25/2023,18:08:56
85,2/10/2023,14:05:17
700,3/4/2023,08:43:30
946,2/26/2023,20:22:08
196,2/19/2023,23:54:07
378,1/23/2023,03:45:03
241,2/13/2023,08:47:10
138,3/5/2023,13:02:03
662,3/22/2023,04:52:44
67,1/19/2023,09:25:13
859,2/14/2023,13:11:35
556,3/5/2023,07:33:08
748,3/28/2023,01:35:11
474,3/18/2023,13:13:09
288,2/3/2023,14:31:41
869,1/26/2023,19:55:21
100,1/18/2023,19:13:11
80,3/10/2023,19:16:16
874,3/26/2023,08:07:47
552,1/13/2023,03:46:38
35,2/1/2023,11:04:51
293,3/4/2023,16:59:11
329,3/3/2023,00:20:10
337,2/3/2023,10:46:29
944,3/14/2023,02:54:29
739,3/2/2023,04:09:33
49,2/7/2023,10:43:12
549,3/23/2023,17:04:47
882,2/2/2023,11:46:33
46,3/17/2023,00:59:13
622,3/11/2023,14:18:55
552,3/5/2023,00:39:16
697,1/12/2023,08:05:00
7,3/8/2023,18:37:34
420,2/3/2023,16:51:44
853,2/19/2023,21:15:35
112,1/21/2023,04:35:41
181,2/1/2023,09:16:23
946,2/25/2023,16:04:13
878,3/7/2023,02:50:11
137,1/21/2023,12:41:04
984,2/19/2023,04:44:31
357,2/5/2023,10:41:39
290,2/18/2023,06:35:22
842,2/22/2023,09:38:24
689,1/28/2023,05:40:14
618,3/20/2023,04:39:09
973,2/23/2023,23:11:43
524,2/14/2023,08:39:34
986,1/23/2023,23:28:27
746,1/7/2023,19:36:59
206,1/23/2023,03:50:19
416,1/30/2023,10:34:04
737,3/12/2023,01:16:30
13,3/24/2023,08:20:31
156,1/17/2023,12:17:48
3,1/16/2023,06:25:05
414,2/19/2023,08:22:43
541,1/30/2023,21:36:06
323,2/13/2023,09:17:38
152,2/13/2023,14:24:52
869,1/28/2023,10:25:52
608,3/7/2023,10:19:57
820,3/12/2023,14:04:44
47,2/3/2023,14:30:23
501,2/9/2023,01:18:59
531,2/17/2023,14:24:58
96,1/4/2023,03:57:51
177,3/4/2023,16:20:10
488,1/30/2023,06:44:10
854,3/31/2023,22:28:19
852,2/2/2023,04:02:33
347,1/20/2023,20:47:55
529,1/12/2023,16:52:57
641,1/14/2023,23:05:29
995,3/7/2023,05:33:37
712,2/8/2023,20:05:45
252,2/22/2023,04:37:44
950,1/19/2023,14:19:27
728,2/18/2023,22:48:57
869,1/7/2023,03:41:24
598,3/19/2023,21:53:03
642,1/11/2023,09:25:04
57,3/10/2023,18:35:48
523,3/29/2023,18:33:55
310,1/6/2023,19:30:28
828,2/28/2023,03:40:39
444,2/23/2023,17:24:58
370,4/1/2023,20:56:28
797,3/14/2023,22:58:15
326,2/17/2023,14:48:23
458,1/11/2023,05:23:59
500,2/14/2023,12:56:41
946,3/1/2023,08:31:49
199,1/11/2023,07:53:23
815,3/29/2023,18:00:46
243,3/8/2023,15:46:49
584,1/16/2023,09:28:17
377,1/30/2023,06:57:57
931,3/31/2023,08:06:17
255,3/24/2023,07:27:12
859,3/25/2023,16:09:32
58,3/22/2023,11:59:33
576,2/16/2023,14:31:00
241,1/19/2023,23:39:09
243,2/14/2023,12:42:57
877,1/22/2023,18:04:37
888,2/10/2023,18:37:19
272,2/8/2023,14:43:05
456,1/17/2023,01:28:20
426,3/21/2023,03:52:12
878,2/4/2023,13:46:58
705,2/2/2023,06:12:54
904,1/18/2023,04:17:52
302,2/28/2023,00:29:10
135,3/29/2023,18:30:53
341,3/14/2023,21:55:56
260,1/2/2023,09:09:25
301,1/17/2023,05:00:41
857,2/19/2023,19:59:32
2,1/27/2023,20:52:11
69,1/13/2023,09:49:33
66,4/1/2023,17:49:12
645,3/26/2023,15:10:04
226,2/7/2023,21:46:43
264,3/30/2023,07:45:28
598,1/9/2023,10:35:21
877,1/11/2023,12:49:28
417,1/23/2023,19:03:26
530,1/27/2023,05:51:33
126,2/1/2023,02:39:59
261,2/24/2023,18:31:24
453,3/25/2023,16:10:48
661,1/17/2023,14:23:19
496,3/20/2023,07:08:09
239,1/29/2023,17:39:45
485,1/22/2023,05:20:32
444,1/13/2023,07:59:14
20,1/4/2023,17:27:27
240,2/3/2023,11:53:29
184,3/20/2023,04:22:27
210,2/18/2023,10:52:56
205,2/21/2023,22:32:38
88,1/14/2023,05:03:27
376,3/14/2023,09:05:01
322,2/18/2023,13:00:04
379,3/28/2023,05:14:24
443,3/17/2023,07:23:01
554,4/1/2023,21:13:58
933,2/26/2023,12:38:38
178,2/8/2023,00:53:06
467,3/1/2023,01:58:38
898,3/13/2023,12:39:29
971,2/25/2023,14:57:50
468,1/27/2023,16:50:43
296,2/26/2023,19:46:02
456,3/6/2023,04:15:03
58,2/18/2023,16:29:33
845,2/14/2023,18:46:55
666,3/22/2023,15:27:37
513,1/16/2023,13:14:36
65,3/19/2023,16:25:13
897,3/13/2023,09:05:38
101,3/18/2023,06:59:21
316,2/10/2023,04:15:12
576,2/17/2023,07:37:40
4,2/15/2023,10:24:58
889,3/21/2023,02:01:16
817,3/19/2023,17:04:30
637,3/11/2023,17:48:14
326,3/22/2023,04:28:57
668,1/9/2023,16:09:11
665,1/19/2023,22:28:39
725,3/1/2023,04:43:59
181,2/8/2023,13:32:45
691,1/8/2023,16:16:46
292,3/15/2023,06:20:06
773,2/10/2023,23:06:32
403,3/23/2023,01:03:40
91,1/20/2023,23:47:04
127,3/1/2023,22:36:13
140,2/7/2023,12:48:01
758,3/3/2023,06:56:31
203,1/26/2023,07:31:00
292,2/21/2023,14:45:38
149,2/22/2023,04:54:50
280,1/8/2023,18:00:47
362,1/14/2023,21:36:53
28,1/28/2023,08:00:22
806,2/20/2023,19:41:26
273,3/26/2023,16:47:36
161,3/23/2023,20:23:15
833,1/8/2023,21:47:00
260,3/11/2023,08:25:29
479,3/9/2023,22:29:00
767,2/25/2023,23:47:18
686,3/21/2023,17:53:12
838,3/2/2023,00:49:49
949,2/6/2023,00:28:42
508,1/7/2023,06:30:58
44,2/27/2023,18:50:35
293,1/3/2023,13:33:20
928,2/11/2023,16:44:17
656,1/5/2023,05:39:47
43,3/28/2023,04:00:16
543,3/5/2023,08:56:23
311,2/24/2023,12:19:49
796,2/1/2023,09:37:51
386,1/23/2023,17:33:39
931,3/17/2023,00:51:33
420,3/18/2023,16:04:09
200,2/9/2023,20:42:53
121,3/29/2023,17:17:19
699,1/6/2023,06:10:56
696,3/21/2023,19:03:38
282,3/28/2023,20:07:10
323,1/24/2023,17:03:31
455,2/28/2023,04:30:43
891,3/20/2023,04:33:45
479,2/1/2023,09:12:20
758,4/1/2023,00:05:29
656,2/20/2023,03:43:44
627,2/27/2023,07:33:18
825,2/14/2023,03:58:22
857,1/25/2023,15:47:51
149,1/21/2023,07:24:55
766,2/19/2023,15:51:10
302,1/12/2023,05:45:06
155,2/14/2023,07:30:40
1,3/28/2023,00:18:03
840,1/7/2023,09:14:18
795,1/3/2023,08:59:44
40,1/3/2023,15:02:54
923,1/18/2023,05:30:29
789,1/18/2023,07:46:56
239,3/8/2023,13:55:38
82,3/25/2023,00:55:45
484,2/5/2023,21:26:48
44,1/28/2023,10:31:59
235,3/12/2023,09:06:30
832,3/21/2023,22:24:30
970,3/30/2023,22:43:38
407,3/2/2023,12:48:20
520,1/10/2023,14:14:32
889,1/28/2023,05:59:33
969,2/20/2023,09:01:08
816,3/18/2023,18:25:21
807,1/17/2023,07:02:04
122,3/21/2023,05:26:45
230,3/31/2023,11:16:12
807,3/7/2023,14:10:36
767,1/5/2023,22:16:19
624,1/26/2023,01:13:40
672,1/9/2023,02:03:48
793,2/9/2023,02:08:08
57,3/13/2023,01:43:53
611,3/3/2023,21:24:42
694,3/4/2023,09:43:12
498,1/27/2023,11:49:52
993,1/16/2023,10:08:49
488,3/24/2023,07:10:42
874,2/3/2023,10:24:11
589,1/1/2023,12:00:01
957,2/28/2023,18:33:42
243,4/1/2023,02:54:56
747,2/20/2023,06:58:05
405,3/18/2023,05:00:45
552,2/18/2023,01:46:49
575,2/23/2023,19:19:20
967,2/4/2023,12:03:14
849,3/24/2023,01:21:12
261,2/6/2023,02:14:11
815,3/21/2023,03:40:55
340,1/4/2023,16:51:08
852,3/20/2023,08:49:37
745,1/10/2023,22:45:05
269,2/12/2023,02:27:55
535,3/6/2023,17:01:43
696,3/20/2023,02:25:50
665,2/6/2023,09:05:25
94,1/31/2023,06:14:28
354,2/27/2023,23:24:09
469,1/29/2023,04:20:24
58,2/18/2023,21:22:39
1000,1/26/2023,10:06:03
279,3/27/2023,07:53:57
30,3/31/2023,10:47:13
43,3/27/2023,16:24:12
228,2/14/2023,22:36:42
847,3/4/2023,14:02:00
382,1/20/2023,23:55:44
349,1/6/2023,17:26:48
861,1/7/2023,10:25:31
798,3/13/2023,08:17:14
17,3/9/2023,00:37:14
61,1/29/2023,07:02:26
608,1/28/2023,04:37:00
475,3/13/2023,21:09:13
966,3/10/2023,17:21:23
237,2/14/2023,01:02:35
73,2/26/2023,16:35:00
199,1/19/2023,01:34:06
480,3/7/2023,02:01:29
694,1/25/2023,04:42:52
355,1/13/2023,08:16:20
704,3/17/2023,14:01:24
785,1/11/2023,13:43:02
200,3/8/2023,19:36:20
437,2/18/2023,10:53:06
230,3/13/2023,01:46:03
151,2/19/2023,05:01:11
678,1/9/2023,03:14:43
705,2/23/2023,11:18:49
980,2/26/2023,10:44:51
447,3/8/2023,04:52:50
720,3/10/2023,23:41:42
136,3/16/2023,07:28:24
21,1/15/2023,00:18:33
375,3/4/2023,23:35:26
138,1/5/2023,09:24:18
821,2/9/2023,11:13:48
250,1/15/2023,11:37:16
954,2/23/2023,07:36:27
556,1/20/2023,11:25:10
88,1/9/2023,14:45:51
451,1/10/2023,21:58:47
613,3/19/2023,13:43:43
985,2/3/2023,19:03:04
24,1/28/2023,12:07:43
484,2/23/2023,06:00:24
849,3/3/2023,10:46:17
530,1/22/2023,17:46:33
270,3/6/2023,17:54:25
116,2/6/2023,06:57:34
559,1/19/2023,15:27:14
246,1/24/2023,15:06:52
702,3/31/2023,15:05:25
47,2/24/2023,22:41:35
989,3/28/2023,11:38:12
429,3/31/2023,07:50:09
443,3/10/2023,18:19:36
346,1/5/2023,13:27:11
368,1/28/2023,02:49:36
693,2/21/2023,03:18:31
910,1/17/2023,21:35:59
940,2/3/2023,06:06:48
301,1/26/2023,20:10:41
659,3/5/2023,00:28:38
311,2/19/2023,03:24:50
476,3/11/2023,08:39:08
688,2/18/2023,08:47:36
488,1/12/2023,17:49:54
755,2/20/2023,16:58:04
221,2/21/2023,18:29:23
820,2/24/2023,08:45:16
742,3/20/2023,07:17:27
195,1/23/2023,23:06:08
829,3/21/2023,03:43:34
300,2/23/2023,19:16:13
399,2/27/2023,23:49:35
786,2/1/2023,14:18:40
333,1/8/2023,09:49:34
126,3/5/2023,09:29:37
860,1/7/2023,14:00:01
308,2/3/2023,05:25:07
817,1/30/2023,21:14:12
510,3/8/2023,07:41:01
570,2/25/2023,06:00:28
692,1/28/2023,13:55:30
230,3/11/2023,07:35:11
103,2/15/2023,11:22:03
769,3/2/2023,07:13:50
598,1/7/2023,03:29:30
459,3/25/2023,17:49:39
545,2/24/2023,09:54:42
886,1/28/2023,08:15:31
938,3/15/2023,23:11:17
168,2/10/2023,13:02:34
101,3/29/2023,04:34:49
334,3/2/2023,19:29:01
678,2/11/2023,00:48:22
615,1/23/2023,09:20:58
787,3/1/2023,04:49:23
630,1/1/2023,01:01:55
538,2/19/2023,06:49:13
791,1/27/2023,16:52:04
971,1/26/2023,06:09:30
338,3/3/2023,14:30:16
43,1/3/2023,22:03:59
914,3/3/2023,19:16:33
874,3/17/2023,16:22:00
351,1/3/2023,20:55:46
299,2/1/2023,12:36:18
580,3/23/2023,12:18:29
672,2/2/2023,20:32:32
95,3/22/2023,17:39:27
542,1/29/2023,08:09:53
522,2/5/2023,12:38:25
639,1/9/2023,14:38:02
292,2/2/2023,21:36:43
695,1/4/2023,22:29:36
564,1/17/2023,21:01:45
741,1/28/2023,10:24:09
604,2/4/2023,00:00:29
374,1/11/2023,04:37:38
498,2/19/2023,05:32:55
370,1/9/2023,08:03:29
845,3/18/2023,15:06:09
405,1/1/2023,17:06:25
548,1/15/2023,07:38:50
125,2/3/2023,14:07:27
181,2/4/2023,11:58:11
382,1/13/2023,03:07:19
468,3/14/2023,11:43:32
177,3/14/2023,11:02:21
689,3/23/2023,13:29:05
12,1/22/2023,18:23:42
313,1/25/2023,22:17:36
857,1/4/2023,15:28:28
131,1/3/2023,13:33:27
186,1/12/2023,00:31:45
576,3/26/2023,02:54:47
256,3/18/2023,12:14:41
231,2/19/2023,02:56:38
79,2/18/2023,11:28:04
331,1/26/2023,02:03:52
920,1/21/2023,06:30:42
862,3/25/2023,09:28:24
244,1/3/2023,20:57:58
652,1/16/2023,13:48:41
335,1/6/2023,16:33:02
750,3/3/2023,20:06:24
437,2/22/2023,01:39:46
931,1/23/2023,14:26:53
423,2/25/2023,16:16:05
983,3/10/2023,01:46:05
712,1/21/2023,12:58:38
785,1/20/2023,23:28:10
201,3/22/2023,10:34:07
498,1/30/2023,14:01:30
150,2/21/2023,14:47:43
447,1/18/2023,11:54:08
217,2/19/2023,12:06:40
568,1/23/2023,00:46:38
901,1/13/2023,23:18:51
940,2/16/2023,16:47:54
389,3/3/2023,23:52:53
