device_id,connection_date,connection_time,device_type
329,2023-03-09,2023-04-15 21:49:36,IoT Device
9,2023-01-28,2023-04-15 23:53:37,IoT Device
886,2023-02-03,2023-04-15 10:38:10,Monitor
151,2023-02-24,2023-04-15 00:34:36,IoT Device
660,2023-01-06,2023-04-15 05:30:00,Monitor
469,2023-01-01,2023-04-15 04:09:09,IoT Device
104,2023-03-10,2023-04-15 01:42:11,IoT Device
229,2023-03-16,2023-04-15 06:58:14,Speaker
977,2023-03-01,2023-04-15 11:59:52,Watch
636,2023-01-09,2023-04-15 12:50:31,Watch
291,2023-03-21,2023-04-15 13:07:01,IoT Device
826,2023-02-06,2023-04-15 15:39:23,Speaker
385,2023-03-14,2023-04-15 17:13:06,Watch
476,2023-01-02,2023-04-15 04:59:26,IoT Device
289,2023-01-29,2023-04-15 10:05:58,IoT Device
310,2023-03-12,2023-04-15 02:44:34,Speaker
6,2023-01-28,2023-04-15 18:38:48,IoT Device
508,2023-01-16,2023-04-15 21:34:52,Monitor
337,2023-02-21,2023-04-15 18:24:29,Speaker
540,2023-03-23,2023-04-15 00:28:40,Speaker
976,2023-04-01,2023-04-15 06:06:08,Watch
407,2023-01-07,2023-04-15 18:02:45,Watch
405,2023-03-10,2023-04-15 15:26:55,Watch
13,2023-01-17,2023-04-15 12:13:07,Monitor
378,2023-03-19,2023-04-15 21:39:41,Monitor
976,2023-02-24,2023-04-15 09:34:03,Monitor
496,2023-01-05,2023-04-15 17:39:51,Speaker
279,2023-03-25,2023-04-15 22:05:37,Speaker
209,2023-03-19,2023-04-15 10:01:30,IoT Device
172,2023-02-26,2023-04-15 09:52:39,IoT Device
509,2023-02-08,2023-04-15 21:49:02,Speaker
379,2023-02-05,2023-04-15 15:38:18,IoT Device
804,2023-03-16,2023-04-15 23:19:33,Monitor
321,2023-02-13,2023-04-15 06:22:00,IoT Device
237,2023-03-04,2023-04-15 17:23:54,Speaker
601,2023-03-03,2023-04-15 07:17:28,Monitor
653,2023-01-09,2023-04-15 04:52:12,Watch
75,2023-02-19,2023-04-15 03:27:31,Watch
39,2023-02-25,2023-04-15 22:34:57,Speaker
71,2023-03-24,2023-04-15 23:20:45,Watch
897,2023-01-18,2023-04-15 06:51:30,Monitor
280,2023-02-10,2023-04-15 09:06:38,IoT Device
446,2023-02-17,2023-04-15 05:00:18,Watch
852,2023-02-26,2023-04-15 10:33:57,Speaker
814,2023-01-05,2023-04-15 17:07:23,Monitor
597,2023-02-08,2023-04-15 21:20:38,Watch
32,2023-03-07,2023-04-15 18:10:28,IoT Device
798,2023-02-18,2023-04-15 02:28:22,IoT Device
818,2023-01-07,2023-04-15 02:04:30,IoT Device
339,2023-01-12,2023-04-15 02:05:36,Monitor
698,2023-01-21,2023-04-15 16:19:16,Watch
532,2023-01-23,2023-04-15 12:43:23,Monitor
912,2023-04-01,2023-04-15 02:10:52,Speaker
573,2023-03-28,2023-04-15 14:30:55,Watch
536,2023-02-26,2023-04-15 01:49:18,IoT Device
55,2023-01-03,2023-04-15 22:55:33,IoT Device
274,2023-01-07,2023-04-15 17:38:31,Watch
426,2023-03-09,2023-04-15 23:44:28,Monitor
391,2023-01-24,2023-04-15 01:47:16,Monitor
202,2023-01-04,2023-04-15 22:09:06,IoT Device
480,2023-01-31,2023-04-15 09:37:16,Monitor
689,2023-01-06,2023-04-15 13:05:37,Monitor
498,2023-03-29,2023-04-15 07:38:58,IoT Device
415,2023-01-05,2023-04-15 01:25:50,Speaker
950,2023-02-11,2023-04-15 18:18:12,IoT Device
664,2023-02-26,2023-04-15 00:54:06,Speaker
130,2023-01-06,2023-04-15 15:03:55,IoT Device
289,2023-03-20,2023-04-15 11:59:28,Speaker
753,2023-02-16,2023-04-15 15:42:36,Watch
239,2023-01-11,2023-04-15 01:02:36,IoT Device
393,2023-03-27,2023-04-15 14:12:03,IoT Device
864,2023-02-21,2023-04-15 10:18:11,Monitor
111,2023-01-16,2023-04-15 10:25:53,Speaker
120,2023-03-03,2023-04-15 06:00:54,Speaker
171,2023-01-20,2023-04-15 08:39:04,Speaker
942,2023-03-18,2023-04-15 16:53:50,IoT Device
586,2023-01-29,2023-04-15 02:12:21,Watch
29,2023-02-12,2023-04-15 07:18:10,Watch
736,2023-03-27,2023-04-15 18:39:45,Watch
922,2023-03-01,2023-04-15 12:38:28,IoT Device
762,2023-03-09,2023-04-15 19:04:18,IoT Device
368,2023-02-11,2023-04-15 07:10:59,Watch
359,2023-02-07,2023-04-15 20:45:58,IoT Device
13,2023-03-21,2023-04-15 00:20:39,Monitor
304,2023-02-14,2023-04-15 06:18:34,IoT Device
102,2023-02-23,2023-04-15 19:40:57,Monitor
909,2023-01-20,2023-04-15 13:15:44,IoT Device
10,2023-03-16,2023-04-15 14:05:01,Watch
756,2023-01-14,2023-04-15 16:50:32,Monitor
789,2023-02-07,2023-04-15 22:27:57,Watch
567,2023-02-01,2023-04-15 22:54:44,Monitor
755,2023-01-07,2023-04-15 07:46:03,IoT Device
435,2023-03-21,2023-04-15 17:13:02,Watch
756,2023-02-08,2023-04-15 10:25:22,Speaker
860,2023-01-15,2023-04-15 11:26:49,Watch
492,2023-01-11,2023-04-15 03:13:47,Speaker
14,2023-01-07,2023-04-15 15:30:32,Speaker
683,2023-01-01,2023-04-15 15:34:37,Speaker
980,2023-04-01,2023-04-15 08:17:52,Speaker
54,2023-01-15,2023-04-15 23:55:09,Speaker
274,2023-03-11,2023-04-15 03:17:42,Monitor
933,2023-01-07,2023-04-15 18:36:35,Monitor
385,2023-03-29,2023-04-15 17:36:22,Speaker
311,2023-01-21,2023-04-15 04:16:50,Watch
905,2023-01-17,2023-04-15 10:21:31,IoT Device
732,2023-03-27,2023-04-15 09:22:34,Watch
2,2023-02-14,2023-04-15 15:52:13,Monitor
347,2023-03-21,2023-04-15 22:50:06,Speaker
312,2023-03-26,2023-04-15 00:33:51,Monitor
401,2023-03-18,2023-04-15 06:03:48,Monitor
311,2023-02-23,2023-04-15 08:39:14,Monitor
294,2023-03-15,2023-04-15 14:52:47,IoT Device
700,2023-01-25,2023-04-15 06:57:02,Speaker
112,2023-01-18,2023-04-15 01:02:15,Monitor
241,2023-01-15,2023-04-15 09:50:19,Speaker
768,2023-02-24,2023-04-15 19:46:36,IoT Device
354,2023-03-31,2023-04-15 04:56:57,Watch
235,2023-03-28,2023-04-15 09:48:02,Speaker
322,2023-03-14,2023-04-15 06:56:15,Monitor
941,2023-03-24,2023-04-15 04:56:23,IoT Device
956,2023-01-19,2023-04-15 04:08:34,IoT Device
43,2023-03-03,2023-04-15 17:38:06,Watch
882,2023-02-23,2023-04-15 14:40:40,Speaker
858,2023-02-24,2023-04-15 09:23:19,Monitor
440,2023-01-02,2023-04-15 15:10:50,Speaker
195,2023-03-03,2023-04-15 02:55:11,Monitor
669,2023-03-04,2023-04-15 20:59:33,Monitor
44,2023-01-17,2023-04-15 02:33:54,Monitor
469,2023-03-27,2023-04-15 16:34:07,Speaker
486,2023-03-04,2023-04-15 23:14:12,Monitor
895,2023-04-01,2023-04-15 08:51:52,Monitor
554,2023-01-28,2023-04-15 23:35:04,Speaker
150,2023-01-11,2023-04-15 20:08:43,Watch
1000,2023-01-11,2023-04-15 23:25:32,Monitor
759,2023-03-25,2023-04-15 20:32:27,IoT Device
482,2023-01-17,2023-04-15 13:47:39,Watch
58,2023-01-02,2023-04-15 01:42:10,IoT Device
992,2023-01-20,2023-04-15 08:03:51,Speaker
607,2023-01-29,2023-04-15 10:42:24,Monitor
707,2023-02-26,2023-04-15 03:34:35,Monitor
369,2023-01-24,2023-04-15 12:22:29,IoT Device
398,2023-02-05,2023-04-15 15:06:14,IoT Device
516,2023-02-23,2023-04-15 21:13:32,Monitor
744,2023-03-30,2023-04-15 06:06:11,Watch
940,2023-03-04,2023-04-15 20:24:32,Speaker
375,2023-02-17,2023-04-15 00:46:56,IoT Device
156,2023-02-05,2023-04-15 01:13:02,IoT Device
169,2023-02-15,2023-04-15 03:17:54,Watch
152,2023-02-24,2023-04-15 12:19:23,Watch
309,2023-03-04,2023-04-15 03:44:19,Watch
126,2023-01-11,2023-04-15 02:55:43,Watch
266,2023-02-06,2023-04-15 23:59:24,Watch
629,2023-02-13,2023-04-15 01:35:46,Monitor
695,2023-01-07,2023-04-15 00:15:43,Watch
868,2023-03-24,2023-04-15 23:11:03,Monitor
426,2023-03-24,2023-04-15 21:25:47,Monitor
779,2023-02-22,2023-04-15 04:32:24,Monitor
513,2023-01-03,2023-04-15 04:47:47,Speaker
725,2023-01-27,2023-04-15 15:33:32,Watch
200,2023-03-24,2023-04-15 01:49:50,Monitor
648,2023-01-31,2023-04-15 09:56:42,Watch
188,2023-01-20,2023-04-15 18:27:09,Speaker
605,2023-03-19,2023-04-15 15:13:45,Speaker
593,2023-02-02,2023-04-15 19:10:19,Monitor
744,2023-01-21,2023-04-15 12:29:56,Watch
458,2023-01-16,2023-04-15 15:08:15,Watch
900,2023-03-20,2023-04-15 02:17:28,Monitor
21,2023-03-10,2023-04-15 17:02:44,Speaker
908,2023-01-04,2023-04-15 04:38:29,Monitor
315,2023-02-23,2023-04-15 00:29:39,Monitor
748,2023-02-09,2023-04-15 01:21:44,Monitor
344,2023-01-21,2023-04-15 04:35:43,Speaker
688,2023-02-23,2023-04-15 16:30:27,Speaker
267,2023-01-30,2023-04-15 15:48:17,Monitor
623,2023-01-04,2023-04-15 00:32:29,Monitor
328,2023-03-11,2023-04-15 06:23:15,Watch
154,2023-03-21,2023-04-15 08:29:20,Speaker
723,2023-01-04,2023-04-15 16:21:24,Speaker
526,2023-03-03,2023-04-15 02:01:10,Monitor
602,2023-03-15,2023-04-15 16:10:48,Monitor
702,2023-02-27,2023-04-15 05:13:32,IoT Device
285,2023-03-17,2023-04-15 18:10:29,Watch
225,2023-02-11,2023-04-15 14:00:28,Watch
182,2023-03-29,2023-04-15 05:07:21,Monitor
475,2023-01-19,2023-04-15 21:41:28,Monitor
419,2023-02-27,2023-04-15 14:07:11,Monitor
64,2023-03-26,2023-04-15 09:34:41,Speaker
971,2023-01-18,2023-04-15 01:30:14,Watch
606,2023-01-22,2023-04-15 08:07:58,Watch
23,2023-02-05,2023-04-15 10:14:07,IoT Device
200,2023-02-13,2023-04-15 06:23:38,Speaker
899,2023-03-13,2023-04-15 12:13:46,Monitor
279,2023-01-19,2023-04-15 10:05:07,Watch
144,2023-03-02,2023-04-15 21:11:39,Monitor
94,2023-03-30,2023-04-15 19:23:26,Monitor
193,2023-03-04,2023-04-15 13:27:38,Speaker
802,2023-02-07,2023-04-15 04:57:31,Speaker
739,2023-01-15,2023-04-15 03:14:26,Monitor
174,2023-03-04,2023-04-15 18:20:16,Monitor
998,2023-01-02,2023-04-15 16:17:46,Watch
818,2023-02-23,2023-04-15 00:22:28,IoT Device
793,2023-01-12,2023-04-15 12:05:26,IoT Device
738,2023-03-11,2023-04-15 04:27:19,Speaker
878,2023-02-17,2023-04-15 10:32:02,Speaker
633,2023-02-28,2023-04-15 19:57:36,Speaker
876,2023-02-13,2023-04-15 14:35:57,Speaker
391,2023-03-31,2023-04-15 13:50:00,Watch
770,2023-02-18,2023-04-15 10:39:10,Watch
872,2023-03-07,2023-04-15 11:48:46,IoT Device
755,2023-01-20,2023-04-15 19:14:40,Monitor
756,2023-01-17,2023-04-15 21:16:33,Monitor
524,2023-01-28,2023-04-15 12:45:03,Speaker
54,2023-03-21,2023-04-15 05:19:06,Watch
521,2023-02-17,2023-04-15 12:59:01,Monitor
473,2023-01-24,2023-04-15 13:31:12,Speaker
388,2023-02-16,2023-04-15 15:00:16,Speaker
866,2023-02-13,2023-04-15 18:40:32,IoT Device
306,2023-02-04,2023-04-15 11:25:30,Monitor
54,2023-02-27,2023-04-15 10:58:04,Speaker
680,2023-03-05,2023-04-15 10:44:38,Speaker
835,2023-01-25,2023-04-15 22:55:14,Watch
935,2023-03-06,2023-04-15 06:37:31,IoT Device
611,2023-01-15,2023-04-15 23:28:55,Watch
438,2023-02-14,2023-04-15 07:23:42,Monitor
868,2023-02-01,2023-04-15 23:10:11,IoT Device
881,2023-02-01,2023-04-15 09:03:49,Watch
638,2023-01-25,2023-04-15 23:28:30,IoT Device
614,2023-02-23,2023-04-15 20:56:43,Monitor
791,2023-03-19,2023-04-15 10:43:22,Watch
835,2023-01-10,2023-04-15 13:55:23,Watch
74,2023-01-18,2023-04-15 15:41:12,Monitor
174,2023-01-08,2023-04-15 11:44:48,Monitor
560,2023-02-15,2023-04-15 18:25:16,Speaker
586,2023-03-05,2023-04-15 04:16:47,Monitor
379,2023-01-11,2023-04-15 20:40:55,IoT Device
415,2023-02-23,2023-04-15 22:41:21,Watch
16,2023-02-07,2023-04-15 00:22:15,IoT Device
727,2023-02-02,2023-04-15 20:07:38,Monitor
324,2023-03-26,2023-04-15 15:24:18,Watch
149,2023-03-05,2023-04-15 22:01:09,IoT Device
236,2023-03-10,2023-04-15 00:37:28,Speaker
933,2023-01-26,2023-04-15 17:29:10,Watch
898,2023-03-30,2023-04-15 20:40:58,Watch
733,2023-01-28,2023-04-15 04:28:57,Watch
291,2023-03-21,2023-04-15 18:08:20,Monitor
509,2023-02-25,2023-04-15 03:53:47,Speaker
979,2023-01-24,2023-04-15 18:35:04,Watch
603,2023-02-11,2023-04-15 07:06:47,Monitor
382,2023-02-15,2023-04-15 03:31:30,Watch
258,2023-01-24,2023-04-15 11:18:21,IoT Device
71,2023-03-18,2023-04-15 11:40:42,Monitor
31,2023-02-07,2023-04-15 05:54:42,Watch
432,2023-03-23,2023-04-15 23:27:19,Speaker
677,2023-01-29,2023-04-15 12:26:34,Watch
586,2023-03-10,2023-04-15 23:09:19,Speaker
683,2023-01-03,2023-04-15 00:24:40,Monitor
13,2023-03-25,2023-04-15 09:22:57,Speaker
946,2023-02-23,2023-04-15 20:18:11,Watch
850,2023-03-08,2023-04-15 08:53:26,IoT Device
724,2023-03-03,2023-04-15 05:12:41,Watch
874,2023-03-08,2023-04-15 04:14:16,Speaker
184,2023-03-09,2023-04-15 17:47:34,IoT Device
285,2023-03-19,2023-04-15 06:13:37,Speaker
353,2023-03-13,2023-04-15 03:31:32,Watch
297,2023-01-31,2023-04-15 00:12:50,Watch
501,2023-03-21,2023-04-15 10:17:53,Speaker
317,2023-03-03,2023-04-15 09:44:24,Watch
327,2023-02-19,2023-04-15 21:45:26,Monitor
686,2023-01-20,2023-04-15 04:09:24,IoT Device
32,2023-03-20,2023-04-15 20:11:31,Speaker
480,2023-03-21,2023-04-15 23:49:45,Speaker
539,2023-02-08,2023-04-15 04:35:24,IoT Device
590,2023-03-08,2023-04-15 07:56:12,IoT Device
4,2023-04-01,2023-04-15 16:29:18,Watch
531,2023-03-21,2023-04-15 07:40:46,Watch
352,2023-01-03,2023-04-15 15:46:31,Speaker
621,2023-01-10,2023-04-15 00:49:47,Speaker
35,2023-01-01,2023-04-15 05:42:06,IoT Device
989,2023-03-13,2023-04-15 10:38:16,IoT Device
857,2023-03-04,2023-04-15 17:03:44,Watch
969,2023-01-18,2023-04-15 07:27:44,Speaker
546,2023-01-05,2023-04-15 11:13:04,Monitor
470,2023-03-28,2023-04-15 04:24:42,Watch
330,2023-02-21,2023-04-15 14:54:40,Speaker
220,2023-03-28,2023-04-15 16:14:18,Watch
788,2023-03-12,2023-04-15 08:58:20,IoT Device
368,2023-02-26,2023-04-15 03:50:48,Watch
653,2023-01-09,2023-04-15 06:05:29,IoT Device
985,2023-01-22,2023-04-15 14:58:21,Speaker
574,2023-03-11,2023-04-15 10:40:10,Monitor
457,2023-03-01,2023-04-15 14:31:40,Monitor
68,2023-01-15,2023-04-15 07:52:03,Monitor
877,2023-02-12,2023-04-15 03:27:48,IoT Device
564,2023-01-19,2023-04-15 01:56:41,IoT Device
634,2023-03-14,2023-04-15 07:39:49,Speaker
938,2023-02-15,2023-04-15 11:14:05,Monitor
63,2023-03-30,2023-04-15 10:54:32,Speaker
783,2023-02-25,2023-04-15 17:22:27,IoT Device
493,2023-02-12,2023-04-15 19:52:40,Watch
784,2023-01-19,2023-04-15 02:51:04,Monitor
585,2023-03-06,2023-04-15 17:09:03,IoT Device
775,2023-01-19,2023-04-15 18:46:30,Monitor
412,2023-02-03,2023-04-15 14:54:35,Speaker
25,2023-01-29,2023-04-15 04:58:57,Watch
496,2023-03-08,2023-04-15 20:32:24,Watch
465,2023-01-26,2023-04-15 17:06:18,Monitor
457,2023-01-10,2023-04-15 23:15:49,Monitor
201,2023-02-25,2023-04-15 18:06:15,IoT Device
655,2023-02-12,2023-04-15 00:13:54,Watch
95,2023-01-23,2023-04-15 06:12:35,IoT Device
418,2023-01-02,2023-04-15 02:36:40,IoT Device
306,2023-01-15,2023-04-15 02:36:44,Monitor
149,2023-01-13,2023-04-15 14:20:06,Watch
11,2023-01-26,2023-04-15 20:06:06,IoT Device
440,2023-02-27,2023-04-15 05:22:27,Speaker
824,2023-02-19,2023-04-15 06:08:34,IoT Device
902,2023-02-11,2023-04-15 01:28:47,Speaker
990,2023-01-18,2023-04-15 12:01:08,IoT Device
203,2023-03-11,2023-04-15 11:45:43,Monitor
438,2023-01-22,2023-04-15 17:30:22,Watch
591,2023-02-18,2023-04-15 07:57:10,Speaker
904,2023-02-10,2023-04-15 09:26:02,Speaker
849,2023-01-09,2023-04-15 14:32:00,IoT Device
963,2023-01-22,2023-04-15 21:35:06,Watch
537,2023-02-25,2023-04-15 06:27:41,Watch
556,2023-02-14,2023-04-15 15:38:42,Speaker
917,2023-01-05,2023-04-15 00:14:26,Monitor
863,2023-01-26,2023-04-15 19:50:51,IoT Device
118,2023-02-13,2023-04-15 05:54:04,Watch
826,2023-03-01,2023-04-15 12:24:23,Watch
88,2023-03-17,2023-04-15 04:24:13,Speaker
383,2023-02-11,2023-04-15 13:25:43,IoT Device
518,2023-01-06,2023-04-15 09:47:47,Watch
837,2023-03-20,2023-04-15 14:57:29,IoT Device
363,2023-01-19,2023-04-15 21:19:24,Watch
203,2023-01-09,2023-04-15 12:28:55,IoT Device
67,2023-03-29,2023-04-15 10:38:33,IoT Device
254,2023-02-11,2023-04-15 04:20:39,Monitor
907,2023-03-07,2023-04-15 18:40:22,IoT Device
342,2023-01-27,2023-04-15 13:54:52,Watch
809,2023-03-16,2023-04-15 11:54:09,Monitor
962,2023-02-04,2023-04-15 14:10:48,IoT Device
639,2023-01-12,2023-04-15 11:37:48,Watch
40,2023-02-16,2023-04-15 14:26:47,Monitor
525,2023-01-15,2023-04-15 21:37:30,Monitor
812,2023-01-23,2023-04-15 07:00:46,Speaker
16,2023-02-14,2023-04-15 22:37:15,IoT Device
363,2023-01-01,2023-04-15 16:22:59,Monitor
339,2023-03-06,2023-04-15 00:46:41,IoT Device
823,2023-02-02,2023-04-15 23:57:31,Speaker
701,2023-02-25,2023-04-15 21:26:08,Watch
41,2023-02-24,2023-04-15 12:36:06,IoT Device
868,2023-01-19,2023-04-15 18:06:08,Monitor
861,2023-02-20,2023-04-15 12:30:40,Monitor
448,2023-01-09,2023-04-15 07:52:21,Monitor
551,2023-02-06,2023-04-15 05:10:20,IoT Device
885,2023-01-01,2023-04-15 02:46:50,Watch
899,2023-01-21,2023-04-15 16:27:35,Watch
381,2023-03-24,2023-04-15 03:29:00,IoT Device
