device_id,gps_date,gps_time,latitude,longitude,latitude_direction,longitude_direction
794,2023-02-26,03:57:42,-70,166,South,West
616,2023-01-05,06:10:26,-47,-171,South,East
921,2023-03-07,08:26:11,-3,8,South,West
234,2023-03-12,04:30:05,-81,45,South,West
194,2023-03-03,02:19:03,26,-113,North,East
530,2023-01-20,09:47:35,-43,-129,South,East
665,2023-01-27,11:16:23,-29,-125,South,East
172,2023-02-18,05:56:39,81,-176,North,East
850,2023-01-03,23:03:40,-8,57,South,West
558,2023-01-03,16:17:44,85,-116,North,East
431,2023-01-06,03:19:48,-17,107,South,West
155,2023-03-04,15:12:49,80,-10,North,East
181,2023-01-06,08:54:32,27,0,North,West
385,2023-02-27,09:36:35,-59,167,South,West
289,2023-02-07,01:16:05,-44,-63,South,East
352,2023-02-06,22:55:36,41,166,North,West
723,2023-03-19,14:18:56,23,-67,North,East
379,2023-01-30,22:29:39,20,84,North,West
503,2023-03-10,11:55:03,51,34,North,West
32,2023-01-22,18:42:31,23,-24,North,East
660,2023-03-29,07:23:29,-14,124,South,West
189,2023-01-19,11:37:41,-88,54,South,West
987,2023-02-15,00:09:39,-89,179,South,West
780,2023-02-03,10:26:39,84,-40,North,East
392,2023-02-15,15:32:04,81,42,North,West
481,2023-03-06,13:39:23,82,16,North,West
449,2023-02-03,23:18:23,-47,2,South,West
86,2023-02-23,23:56:31,87,-144,North,East
811,2023-03-12,04:26:40,-63,-73,South,East
644,2023-01-22,04:47:51,16,164,North,West
515,2023-01-20,09:50:23,81,170,North,West
228,2023-01-20,14:51:57,27,93,North,West
125,2023-03-31,05:27:11,-65,-143,South,East
861,2023-01-06,06:25:55,73,-117,North,East
377,2023-01-12,18:53:32,-53,84,South,West
96,2023-01-16,00:39:07,36,-110,North,East
8,2023-03-26,01:47:18,55,133,North,West
374,2023-02-18,14:29:33,-6,31,South,West
805,2023-03-25,11:20:17,-19,-48,South,East
793,2023-02-18,01:30:20,43,-58,North,East
934,2023-03-05,09:05:50,23,-137,North,East
586,2023-03-12,22:49:18,-79,76,South,West
166,2023-03-14,20:49:20,88,-160,North,East
85,2023-02-26,07:05:07,28,35,North,West
37,2023-01-24,09:15:59,15,-179,North,East
429,2023-02-20,04:19:12,2,-78,North,East
408,2023-03-23,12:16:51,-21,-37,South,East
533,2023-02-27,22:28:54,-55,-99,South,East
292,2023-02-13,10:05:09,-5,72,South,West
653,2023-02-20,10:12:21,-81,-82,South,East
380,2023-02-07,10:11:13,70,151,North,West
618,2023-01-14,18:46:55,-88,84,South,West
715,2023-01-13,02:54:55,24,8,North,West
181,2023-03-12,00:54:49,61,16,North,West
909,2023-01-19,01:50:07,31,-66,North,East
359,2023-03-14,21:46:53,-85,150,South,West
664,2023-03-25,03:58:39,-86,-1,South,East
987,2023-01-26,01:03:37,35,59,North,West
343,2023-01-18,21:58:03,-14,-54,South,East
608,2023-02-08,12:58:56,-30,-149,South,East
833,2023-01-29,04:16:29,-45,53,South,West
692,2023-01-06,10:02:13,60,28,North,West
682,2023-03-26,03:02:22,-77,38,South,West
848,2023-03-02,05:50:20,88,103,North,West
925,2023-02-05,14:42:40,65,-124,North,East
384,2023-01-08,07:30:21,54,-4,North,East
610,2023-03-03,10:36:14,-83,-12,South,East
128,2023-03-16,04:50:23,60,-18,North,East
691,2023-03-21,16:39:39,50,150,North,West
677,2023-03-30,06:50:58,19,-99,North,East
342,2023-03-30,12:01:04,25,110,North,West
198,2023-01-27,16:09:41,9,81,North,West
666,2023-02-13,16:01:25,-84,110,South,West
464,2023-03-04,15:41:14,-1,119,South,West
680,2023-01-27,16:28:54,26,-60,North,East
100,2023-03-25,19:28:09,-88,-62,South,East
605,2023-03-21,12:46:31,64,-99,North,East
41,2023-03-22,12:13:24,0,-131,North,East
256,2023-02-21,08:36:55,76,178,North,West
617,2023-01-12,08:30:16,-52,37,South,West
437,2023-03-11,08:53:37,-9,-165,South,East
510,2023-01-12,16:42:12,10,113,North,West
688,2023-02-02,18:01:09,33,-157,North,East
595,2023-03-09,05:32:22,46,-60,North,East
376,2023-03-31,16:50:23,-88,155,South,West
186,2023-02-11,08:36:30,59,-152,North,East
224,2023-01-26,09:41:09,-71,-93,South,East
477,2023-03-25,05:21:22,-81,-98,South,East
361,2023-01-07,11:38:16,-31,54,South,West
573,2023-02-14,21:05:21,-22,121,South,West
166,2023-02-09,11:04:18,-36,-20,South,East
873,2023-02-03,03:08:23,-55,156,South,West
419,2023-02-06,12:34:21,-22,12,South,West
608,2023-03-28,15:35:08,-75,-9,South,East
956,2023-02-25,22:20:50,44,30,North,West
392,2023-03-21,21:34:09,10,59,North,West
793,2023-01-19,03:15:36,-85,-47,South,East
696,2023-02-02,09:16:51,-46,72,South,West
304,2023-03-15,19:47:23,14,-118,North,East
706,2023-02-06,01:43:54,-69,-129,South,East
705,2023-02-08,11:29:42,-16,-151,South,East
440,2023-03-24,20:38:35,-34,86,South,West
574,2023-01-22,18:48:43,73,88,North,West
317,2023-01-24,00:09:38,-13,-57,South,East
982,2023-03-10,12:28:39,42,-45,North,East
669,2023-03-08,20:17:05,-42,22,South,West
31,2023-02-12,12:53:43,-30,-130,South,East
954,2023-03-01,23:15:16,16,39,North,West
239,2023-02-25,07:42:48,22,59,North,West
72,2023-03-19,08:24:20,-46,-123,South,East
193,2023-01-17,00:21:46,85,155,North,West
681,2023-02-17,01:13:41,16,-13,North,East
23,2023-02-12,17:28:32,35,-95,North,East
217,2023-03-05,17:35:47,86,11,North,West
292,2023-03-19,07:57:14,36,94,North,West
740,2023-03-01,01:29:02,70,-55,North,East
163,2023-03-25,00:56:19,75,33,North,West
619,2023-02-15,20:17:11,-40,112,South,West
860,2023-03-29,11:02:16,31,6,North,West
45,2023-04-01,08:57:50,19,-135,North,East
692,2023-02-07,18:03:56,-86,-167,South,East
768,2023-01-22,04:51:01,18,-65,North,East
19,2023-03-13,06:37:35,-33,109,South,West
471,2023-01-10,21:58:24,60,-50,North,East
504,2023-02-15,19:51:26,-24,9,South,West
609,2023-01-04,23:51:06,-42,147,South,West
304,2023-03-06,13:37:36,-19,127,South,West
562,2023-01-01,03:07:24,49,-4,North,East
713,2023-01-10,21:49:01,-59,41,South,West
436,2023-01-14,00:04:03,35,9,North,West
260,2023-01-08,06:58:38,-58,128,South,West
703,2023-02-01,09:13:56,-20,10,South,West
485,2023-03-24,15:23:31,-88,92,South,West
75,2023-02-26,21:49:27,78,147,North,West
458,2023-02-09,09:04:11,-57,-146,South,East
427,2023-01-27,01:26:54,-38,81,South,West
548,2023-03-10,23:46:33,-34,25,South,West
334,2023-01-13,16:43:16,-86,-56,South,East
833,2023-02-28,15:18:34,53,-159,North,East
521,2023-02-16,17:14:39,-45,63,South,West
935,2023-02-19,11:40:48,43,-116,North,East
821,2023-01-28,00:08:37,-37,39,South,West
508,2023-03-06,02:20:17,-29,-125,South,East
342,2023-03-02,12:43:00,64,-46,North,East
616,2023-02-08,02:49:36,-86,105,South,West
798,2023-03-04,06:02:19,5,-133,North,East
29,2023-01-11,13:43:02,-68,50,South,West
805,2023-02-12,09:06:34,-14,-168,South,East
981,2023-03-19,03:39:14,38,-92,North,East
63,2023-03-02,18:30:14,-33,-114,South,East
164,2023-03-06,21:04:43,-33,3,South,West
693,2023-01-15,06:25:28,-10,-47,South,East
456,2023-03-27,05:48:38,-67,-101,South,East
616,2023-02-19,08:32:03,-61,172,South,West
259,2023-03-22,16:56:43,-59,-157,South,East
601,2023-03-28,21:50:07,5,69,North,West
869,2023-03-08,14:56:27,9,15,North,West
199,2023-03-11,07:08:46,50,-64,North,East
905,2023-03-16,12:34:34,-38,-163,South,East
592,2023-03-11,07:27:03,17,-140,North,East
412,2023-02-10,13:42:40,-36,114,South,West
999,2023-01-17,11:54:55,-28,-61,South,East
343,2023-03-01,05:08:13,74,43,North,West
134,2023-01-01,17:10:42,-37,23,South,West
437,2023-02-18,00:10:50,-16,160,South,West
71,2023-02-15,07:31:15,9,121,North,West
65,2023-02-25,23:16:47,-43,-51,South,East
988,2023-02-03,08:06:26,-59,98,South,West
590,2023-01-31,23:04:18,90,-37,North,East
330,2023-03-10,09:56:40,-87,158,South,West
678,2023-04-01,16:47:59,78,109,North,West
328,2023-02-25,00:36:26,-6,59,South,West
518,2023-02-02,10:23:22,62,142,North,West
731,2023-01-11,07:20:48,-19,35,South,West
722,2023-01-01,16:48:41,-37,173,South,West
798,2023-03-29,17:37:24,65,28,North,West
544,2023-03-02,00:34:30,-67,79,South,West
53,2023-03-13,08:23:24,12,121,North,West
498,2023-01-14,05:59:29,-6,148,South,West
762,2023-03-02,18:01:02,43,-4,North,East
503,2023-02-07,20:12:00,-39,-17,South,East
166,2023-02-18,05:01:06,-17,137,South,West
336,2023-01-04,10:54:29,-78,-7,South,East
865,2023-02-04,00:32:20,-50,-108,South,East
185,2023-01-26,05:07:21,74,-116,North,East
645,2023-03-20,03:44:53,68,-48,North,East
53,2023-02-02,19:37:02,71,-45,North,East
542,2023-01-26,10:38:08,55,-79,North,East
300,2023-02-23,19:12:27,-20,-15,South,East
942,2023-03-18,15:38:48,73,137,North,West
675,2023-03-04,19:02:24,16,75,North,West
33,2023-03-09,15:44:56,10,-175,North,East
896,2023-01-31,13:01:11,83,39,North,West
278,2023-01-17,22:58:20,1,130,North,West
480,2023-02-18,14:55:54,58,-65,North,East
890,2023-04-01,17:00:14,-75,109,South,West
924,2023-03-15,23:52:15,80,65,North,West
571,2023-02-11,19:03:46,36,-29,North,East
779,2023-01-31,02:23:00,-90,-30,South,East
913,2023-03-14,15:25:07,28,-51,North,East
677,2023-02-28,03:35:06,-31,80,South,West
591,2023-01-13,13:06:18,-77,91,South,West
69,2023-03-09,02:11:11,45,46,North,West
666,2023-03-18,21:26:53,-72,42,South,West
171,2023-03-21,18:23:26,62,145,North,West
653,2023-02-18,18:19:34,2,68,North,West
991,2023-03-23,01:04:11,-81,-16,South,East
904,2023-02-06,02:11:41,-4,-100,South,East
255,2023-03-19,22:58:31,27,69,North,West
838,2023-03-20,11:50:44,-82,-170,South,East
720,2023-02-26,02:45:47,38,112,North,West
532,2023-01-31,10:43:58,37,-162,North,East
768,2023-01-22,02:10:29,-38,136,South,West
659,2023-03-04,09:17:36,34,87,North,West
727,2023-03-15,11:13:37,77,-14,North,East
45,2023-01-08,13:41:31,-76,16,South,West
341,2023-03-24,16:40:11,36,-33,North,East
614,2023-01-07,20:18:35,-40,-76,South,East
285,2023-03-31,02:14:31,49,162,North,West
447,2023-01-23,13:32:41,58,-108,North,East
286,2023-03-19,08:23:19,-4,97,South,West
264,2023-03-27,01:18:01,-74,-51,South,East
991,2023-01-25,09:44:19,35,-1,North,East
165,2023-03-20,14:57:07,26,-99,North,East
454,2023-03-22,21:31:27,-55,53,South,West
693,2023-03-17,16:24:29,78,129,North,West
978,2023-01-27,16:58:21,26,-123,North,East
508,2023-03-19,14:09:42,-40,8,South,West
828,2023-02-03,20:46:51,34,117,North,West
447,2023-01-08,04:50:36,36,150,North,West
682,2023-01-03,09:56:50,90,-159,North,East
537,2023-03-22,01:46:35,-78,113,South,West
941,2023-02-23,21:56:18,52,156,North,West
895,2023-03-29,16:13:33,15,20,North,West
342,2023-02-17,16:06:54,-10,64,South,West
77,2023-02-05,15:59:52,43,-45,North,East
743,2023-03-30,21:37:13,42,17,North,West
636,2023-02-22,22:23:59,-87,-79,South,East
96,2023-02-06,03:53:11,21,-77,North,East
829,2023-03-05,15:45:28,64,-115,North,East
920,2023-02-16,08:10:27,-7,-21,South,East
659,2023-03-28,11:35:46,-49,129,South,West
700,2023-01-04,15:21:31,-49,-121,South,East
971,2023-03-01,15:24:43,3,142,North,West
487,2023-01-18,02:30:32,37,48,North,West
586,2023-01-29,23:50:23,1,7,North,West
6,2023-01-16,13:55:01,-55,-174,South,East
756,2023-03-06,05:04:34,53,-178,North,East
350,2023-03-03,05:00:19,-56,-63,South,East
300,2023-02-04,12:27:38,66,-169,North,East
902,2023-01-30,05:42:35,30,-51,North,East
6,2023-03-22,20:56:44,-32,-2,South,East
248,2023-02-07,18:30:46,26,32,North,West
572,2023-03-11,21:04:10,-49,83,South,West
297,2023-01-07,16:26:19,14,15,North,West
746,2023-02-11,13:35:38,65,172,North,West
12,2023-02-24,07:29:34,32,0,North,West
95,2023-02-08,07:26:05,30,104,North,West
966,2023-02-19,11:15:21,-24,149,South,West
616,2023-01-14,11:31:58,-62,44,South,West
609,2023-03-30,14:22:56,-25,-23,South,East
95,2023-03-20,10:16:13,-34,-77,South,East
756,2023-03-25,06:52:26,-25,-124,South,East
352,2023-01-24,00:26:04,-71,114,South,West
138,2023-01-07,02:25:22,-55,-57,South,East
841,2023-02-26,11:06:21,-40,153,South,West
600,2023-01-27,14:04:17,-16,-51,South,East
302,2023-01-24,02:57:29,76,31,North,West
53,2023-03-12,15:43:19,-40,-113,South,East
95,2023-01-04,22:46:28,17,-56,North,East
635,2023-03-15,08:51:30,-42,-125,South,East
459,2023-01-29,13:55:48,-6,87,South,West
991,2023-02-28,00:12:40,16,41,North,West
657,2023-03-18,12:32:22,22,147,North,West
597,2023-01-01,23:54:26,4,-70,North,East
271,2023-01-11,02:04:24,61,-96,North,East
170,2023-03-07,03:36:23,59,-103,North,East
30,2023-02-01,14:59:46,48,-71,North,East
374,2023-02-01,12:24:46,16,5,North,West
913,2023-03-20,21:11:28,-27,-2,South,East
307,2023-03-23,14:10:41,-31,-139,South,East
51,2023-01-19,09:47:37,-53,-130,South,East
348,2023-02-24,06:20:24,40,8,North,West
591,2023-02-05,22:32:43,-22,177,South,West
145,2023-03-02,09:09:34,59,-179,North,East
138,2023-03-23,12:35:01,-29,119,South,West
266,2023-01-22,17:59:37,0,7,North,West
983,2023-01-24,21:34:52,72,-8,North,East
949,2023-03-28,15:55:30,88,-71,North,East
39,2023-01-19,04:08:01,70,-128,North,East
615,2023-02-02,12:01:07,14,30,North,West
663,2023-02-13,11:42:43,87,-29,North,East
760,2023-03-22,16:52:11,54,-139,North,East
216,2023-01-08,00:20:26,-21,76,South,West
589,2023-02-04,22:32:50,9,137,North,West
923,2023-02-04,10:32:27,-40,-7,South,East
754,2023-02-23,09:20:35,-34,33,South,West
483,2023-01-13,14:03:05,35,112,North,West
844,2023-03-01,07:11:35,59,-17,North,East
686,2023-03-14,01:19:01,-22,110,South,West
924,2023-03-20,00:48:50,50,-2,North,East
956,2023-02-23,16:36:16,-88,-20,South,East
139,2023-01-25,22:47:02,-70,-132,South,East
414,2023-03-31,11:16:50,77,6,North,West
947,2023-02-04,14:10:35,-80,93,South,West
326,2023-01-09,09:42:39,50,170,North,West
709,2023-02-28,20:27:26,-23,-172,South,East
601,2023-02-18,11:10:51,-69,23,South,West
786,2023-01-03,04:33:46,-66,126,South,West
966,2023-01-04,18:41:44,72,121,North,West
105,2023-01-15,06:20:31,-23,76,South,West
263,2023-01-20,19:15:59,-64,-50,South,East
185,2023-03-30,14:34:14,47,81,North,West
891,2023-02-25,14:40:53,19,4,North,West
501,2023-03-05,02:48:24,78,72,North,West
724,2023-02-09,11:26:52,22,62,North,West
804,2023-03-08,15:01:01,83,-54,North,East
958,2023-03-25,02:58:52,-49,-78,South,East
192,2023-01-20,18:58:37,48,-36,North,East
321,2023-03-26,04:17:56,-53,118,South,West
656,2023-01-22,17:19:33,46,-46,North,East
974,2023-01-07,16:30:53,-40,4,South,West
514,2023-01-30,00:47:52,-53,-27,South,East
528,2023-02-14,06:25:20,-23,89,South,West
689,2023-01-25,21:55:57,85,-86,North,East
69,2023-01-05,03:23:27,-79,114,South,West
858,2023-01-27,21:58:41,80,100,North,West
841,2023-01-14,04:00:37,14,-130,North,East
568,2023-02-04,01:11:33,-75,-51,South,East
935,2023-01-06,04:48:35,-80,-86,South,East
76,2023-03-19,01:44:40,-14,-44,South,East
294,2023-02-02,07:06:24,-37,-165,South,East
142,2023-01-16,08:43:46,11,-121,North,East
947,2023-01-15,11:57:16,-77,-67,South,East
653,2023-02-20,12:07:39,55,-73,North,East
322,2023-01-28,02:08:13,-64,-107,South,East
348,2023-01-17,15:21:43,87,34,North,West
737,2023-02-24,14:26:37,-47,-111,South,East
214,2023-01-21,23:17:21,1,-17,North,East
185,2023-02-21,02:17:15,48,19,North,West
315,2023-01-18,01:08:18,24,-56,North,East
146,2023-03-10,13:56:44,-47,-4,South,East
356,2023-02-16,05:42:15,36,-130,North,East
485,2023-02-15,09:28:08,-78,98,South,West
141,2023-02-15,03:46:18,17,175,North,West
26,2023-03-18,21:49:45,-14,121,South,West
939,2023-02-11,15:46:15,-22,41,South,West
427,2023-02-01,04:55:10,13,112,North,West
643,2023-02-25,14:49:38,-9,-145,South,East
48,2023-02-01,22:36:04,-66,-110,South,East
725,2023-04-01,09:17:17,-54,-39,South,East
106,2023-03-01,21:00:15,24,95,North,West
958,2023-02-08,21:35:12,19,104,North,West
61,2023-01-19,03:43:07,-23,119,South,West
550,2023-03-29,01:46:21,-50,-82,South,East
428,2023-02-08,04:38:17,74,-109,North,East
320,2023-02-27,06:42:38,78,176,North,West
570,2023-02-14,01:01:01,-62,-170,South,East
700,2023-02-17,04:48:21,74,145,North,West
682,2023-03-29,19:48:17,15,-71,North,East
399,2023-01-16,17:09:27,74,159,North,West
478,2023-03-02,01:48:30,89,177,North,West
288,2023-03-10,18:37:34,-27,-50,South,East
936,2023-03-14,17:02:47,-37,-9,South,East
522,2023-02-21,08:49:40,-16,-66,South,East
549,2023-01-24,14:17:49,9,62,North,West
608,2023-01-12,14:50:31,-18,-39,South,East
994,2023-02-20,00:40:40,61,122,North,West
703,2023-01-10,00:37:51,45,62,North,West
885,2023-03-16,01:35:26,77,80,North,West
718,2023-03-28,05:43:51,-15,-22,South,East
998,2023-02-09,05:59:47,-57,-132,South,East
935,2023-03-29,20:17:56,-41,-6,South,East
167,2023-03-15,00:41:58,65,31,North,West
906,2023-01-04,12:21:34,-54,-52,South,East
