device_id,charge_date,charge_time,,
141,3/27/2023,11:17:37,,
369,1/23/2023,01:54:14,,
840,3/11/2023,13:24:22,,
593,3/21/2023,10:19:59,,
979,1/5/2023,13:58:15,,
349,1/14/2023,04:57:54,,
739,1/31/2023,10:53:20,,
387,1/25/2023,01:45:01,,
541,3/17/2023,11:41:15,,
805,1/7/2023,09:53:32,,
870,2/5/2023,20:22:08,,
421,3/20/2023,08:35:40,,
126,3/23/2023,17:36:04,,
369,3/14/2023,14:04:38,,
18,3/23/2023,04:51:19,,
602,1/20/2023,01:23:33,,
788,2/4/2023,21:46:26,,
485,1/5/2023,10:55:07,,
951,3/30/2023,18:54:01,,
26,2/2/2023,12:56:40,,
749,3/21/2023,17:09:17,,
567,1/6/2023,14:41:42,,
640,2/14/2023,20:36:30,,
227,3/24/2023,03:13:54,,
861,2/10/2023,07:21:03,,
505,3/31/2023,23:05:49,,
86,1/28/2023,20:21:03,,
39,2/13/2023,11:20:35,,
508,1/5/2023,19:28:25,,
99,1/30/2023,09:17:11,,
10,3/2/2023,21:16:52,,
350,1/29/2023,20:54:03,,
145,2/23/2023,03:39:22,,
285,2/28/2023,18:53:01,,
88,1/25/2023,07:57:10,,
479,2/5/2023,23:59:02,,
24,3/4/2023,17:48:28,,
174,1/17/2023,09:44:47,,
323,3/23/2023,14:16:35,,
2,2/19/2023,21:06:54,,
148,1/12/2023,05:24:01,,
973,3/23/2023,03:28:19,,
406,1/12/2023,18:16:55,,
595,3/24/2023,02:36:52,,
148,3/12/2023,21:02:42,,
548,2/10/2023,16:40:36,,
665,2/14/2023,14:56:15,,
740,2/12/2023,10:58:50,,
130,3/15/2023,17:34:01,,
589,3/10/2023,11:28:41,,
481,2/7/2023,19:14:55,,
981,1/23/2023,20:11:45,,
121,3/29/2023,08:11:54,,
918,2/27/2023,01:47:31,,
975,3/29/2023,03:52:53,,
45,3/4/2023,18:27:19,,
637,1/24/2023,02:46:30,,
713,3/13/2023,00:24:50,,
820,2/19/2023,03:01:16,,
959,2/20/2023,01:33:28,,
367,2/28/2023,21:49:30,,
554,1/4/2023,02:29:39,,
586,1/6/2023,22:31:36,,
122,3/29/2023,23:21:52,,
300,3/13/2023,19:20:54,,
988,2/19/2023,01:22:05,,
662,3/26/2023,15:25:03,,
631,3/1/2023,06:30:05,,
431,1/7/2023,13:06:34,,
525,2/22/2023,14:36:28,,
669,1/28/2023,16:29:30,,
108,1/16/2023,09:10:45,,
972,1/28/2023,19:50:47,,
416,2/17/2023,16:21:43,,
931,3/29/2023,22:18:10,,
164,1/10/2023,01:19:01,,
281,3/14/2023,18:03:43,,
964,2/11/2023,14:24:19,,
201,1/29/2023,13:27:20,,
288,1/17/2023,18:45:15,,
896,1/12/2023,08:37:26,,
450,1/9/2023,14:51:20,,
194,1/9/2023,17:07:19,,
900,1/10/2023,21:29:30,,
942,3/28/2023,08:57:58,,
394,3/8/2023,18:00:24,,
711,3/6/2023,12:46:43,,
809,1/21/2023,14:01:03,,
703,3/11/2023,17:28:04,,
708,3/9/2023,16:10:04,,
637,1/29/2023,13:00:21,,
445,2/19/2023,13:09:46,,
518,3/6/2023,23:03:47,,
421,1/16/2023,05:43:56,,
596,2/20/2023,02:07:05,,
165,1/27/2023,13:29:17,,
386,2/3/2023,23:13:44,,
307,3/11/2023,02:44:32,,
944,3/5/2023,12:41:47,,
736,2/7/2023,14:59:18,,
694,1/22/2023,04:25:13,,
835,2/16/2023,16:42:58,,
309,2/8/2023,07:44:54,,
734,1/9/2023,15:33:36,,
542,1/22/2023,12:44:33,,
368,1/2/2023,16:20:28,,
684,3/22/2023,07:27:41,,
701,3/7/2023,23:13:39,,
197,1/28/2023,12:05:55,,
814,1/19/2023,16:49:13,,
516,3/25/2023,16:10:11,,
455,2/15/2023,23:37:49,,
517,2/20/2023,17:35:32,,
95,1/4/2023,06:38:04,,
746,1/8/2023,02:19:33,,
967,2/17/2023,23:43:26,,
369,3/9/2023,21:03:59,,
932,3/25/2023,20:18:22,,
592,2/24/2023,13:51:21,,
566,3/11/2023,02:39:14,,
522,3/25/2023,18:44:42,,
108,2/20/2023,06:32:56,,
747,1/15/2023,19:37:07,,
123,3/22/2023,08:42:33,,
843,1/25/2023,11:45:23,,
843,2/12/2023,11:35:17,,
147,1/30/2023,17:26:17,,
441,3/11/2023,00:35:46,,
15,3/13/2023,17:59:37,,
83,3/16/2023,16:07:49,,
952,2/7/2023,21:27:50,,
750,2/7/2023,01:23:19,,
914,3/22/2023,17:11:37,,
800,1/21/2023,17:57:45,,
590,1/14/2023,04:36:56,,
561,1/4/2023,01:40:44,,
109,3/19/2023,05:34:30,,
515,2/3/2023,08:04:35,,
393,1/19/2023,17:39:06,,
372,1/2/2023,21:50:47,,
935,3/1/2023,13:20:20,,
115,1/14/2023,11:16:03,,
452,1/12/2023,03:24:56,,
780,3/23/2023,02:28:14,,
298,3/24/2023,03:38:00,,
368,2/28/2023,05:04:58,,
623,1/20/2023,17:06:15,,
80,1/15/2023,06:18:41,,
682,3/28/2023,20:37:07,,
346,2/12/2023,12:33:14,,
986,2/25/2023,19:51:16,,
983,1/1/2023,13:35:36,,
662,2/20/2023,08:15:03,,
349,3/17/2023,14:08:19,,
286,2/17/2023,20:20:04,,
59,3/2/2023,07:59:00,,
744,1/16/2023,22:16:46,,
54,1/17/2023,23:56:53,,
846,1/7/2023,11:19:26,,
76,1/5/2023,18:08:53,,
130,3/22/2023,00:54:42,,
520,4/1/2023,02:55:26,,
843,1/8/2023,14:06:28,,
501,1/12/2023,22:01:48,,
636,1/2/2023,09:03:06,,
756,1/14/2023,22:30:19,,
831,2/25/2023,09:52:51,,
155,3/6/2023,22:28:52,,
945,2/14/2023,16:27:59,,
79,2/10/2023,11:31:06,,
169,2/14/2023,19:30:29,,
864,1/14/2023,00:17:56,,
226,3/28/2023,01:56:13,,
826,1/25/2023,06:54:16,,
716,1/13/2023,08:54:40,,
844,3/5/2023,04:18:32,,
178,3/26/2023,11:06:59,,
32,3/23/2023,20:46:06,,
545,1/5/2023,21:22:45,,
139,2/6/2023,15:41:34,,
592,3/16/2023,08:28:31,,
142,1/21/2023,20:25:41,,
489,3/14/2023,10:02:24,,
248,2/4/2023,00:34:21,,
674,3/7/2023,22:48:36,,
40,2/15/2023,17:49:08,,
927,3/1/2023,00:40:19,,
529,2/9/2023,06:56:06,,
678,3/19/2023,13:50:56,,
694,2/16/2023,02:00:43,,
875,1/13/2023,03:19:43,,
237,2/25/2023,00:42:57,,
301,3/26/2023,20:26:23,,
911,3/4/2023,23:06:05,,
936,2/28/2023,03:21:28,,
151,3/30/2023,00:53:24,,
243,3/7/2023,08:19:37,,
45,1/2/2023,13:02:39,,
560,2/4/2023,11:14:01,,
410,2/20/2023,21:47:35,,
294,2/15/2023,08:49:18,,
282,3/27/2023,18:04:52,,
205,1/28/2023,17:32:38,,
25,1/3/2023,15:44:30,,
394,2/4/2023,22:04:42,,
91,3/21/2023,14:20:55,,
421,1/18/2023,17:54:48,,
33,1/28/2023,07:48:40,,
83,3/24/2023,13:14:23,,
962,3/13/2023,14:02:55,,
950,3/22/2023,10:41:42,,
395,1/2/2023,14:57:42,,
690,1/4/2023,20:36:50,,
623,3/4/2023,06:13:09,,
364,3/13/2023,19:08:37,,
554,1/2/2023,20:36:18,,
551,1/31/2023,13:45:10,,
591,2/16/2023,01:06:11,,
79,1/28/2023,11:43:55,,
547,2/13/2023,17:40:58,,
529,3/19/2023,04:38:55,,
387,1/17/2023,19:00:32,,
171,2/10/2023,01:47:26,,
358,3/7/2023,11:48:24,,
377,3/23/2023,11:17:51,,
474,1/2/2023,06:04:38,,
639,2/8/2023,12:43:09,,
322,1/27/2023,05:39:21,,
141,1/21/2023,08:56:56,,
466,3/13/2023,17:31:14,,
758,3/11/2023,08:20:32,,
250,2/11/2023,07:07:08,,
779,3/10/2023,04:12:22,,
426,2/25/2023,01:09:55,,
743,3/1/2023,19:23:18,,
665,2/7/2023,07:59:49,,
588,3/20/2023,07:40:00,,
542,2/7/2023,17:42:12,,
208,1/9/2023,03:55:29,,
475,3/31/2023,22:07:34,,
228,1/3/2023,04:48:45,,
461,1/13/2023,11:24:19,,
448,3/8/2023,10:26:49,,
220,1/22/2023,16:52:18,,
699,3/19/2023,03:46:53,,
759,2/25/2023,03:05:51,,
283,1/19/2023,04:28:07,,
391,3/15/2023,14:39:35,,
16,2/5/2023,07:31:21,,
481,3/10/2023,22:22:34,,
23,3/9/2023,07:09:59,,
122,3/12/2023,00:50:53,,
554,1/15/2023,20:58:13,,
606,3/21/2023,09:22:59,,
735,2/26/2023,07:55:37,,
700,1/29/2023,09:47:56,,
705,2/23/2023,03:17:33,,
47,1/28/2023,12:58:56,,
605,3/22/2023,00:06:55,,
940,1/9/2023,15:22:07,,
906,2/3/2023,00:06:30,,
608,1/19/2023,13:37:16,,
80,1/30/2023,00:18:56,,
6,3/6/2023,06:58:07,,
63,1/13/2023,07:22:57,,
617,2/13/2023,15:43:22,,
537,2/13/2023,12:05:17,,
803,1/15/2023,13:57:24,,
359,1/22/2023,13:22:45,,
270,3/2/2023,12:43:25,,
27,2/1/2023,05:09:32,,
966,2/13/2023,22:51:04,,
142,1/28/2023,13:38:59,,
808,3/11/2023,13:18:50,,
719,1/26/2023,10:25:12,,
264,2/19/2023,01:58:54,,
840,2/12/2023,01:16:09,,
873,3/25/2023,04:13:54,,
250,3/29/2023,02:17:26,,
607,2/4/2023,22:24:29,,
657,2/26/2023,12:21:09,,
29,3/14/2023,05:25:17,,
688,2/21/2023,05:43:51,,
86,1/9/2023,04:36:17,,
628,1/13/2023,14:59:46,,
651,3/5/2023,20:41:07,,
614,1/31/2023,03:58:03,,
58,2/17/2023,05:56:19,,
936,3/30/2023,21:20:30,,
483,1/28/2023,08:05:10,,
868,1/7/2023,14:51:02,,
374,1/3/2023,07:38:44,,
248,3/27/2023,06:14:12,,
72,1/15/2023,19:48:38,,
361,3/5/2023,07:35:38,,
465,1/12/2023,13:12:10,,
231,3/8/2023,13:18:14,,
890,2/3/2023,23:51:09,,
807,1/15/2023,05:01:11,,
141,1/4/2023,01:41:26,,
458,3/27/2023,06:39:08,,
843,1/8/2023,04:42:07,,
80,1/22/2023,01:13:07,,
985,1/17/2023,20:59:58,,
393,2/21/2023,03:54:11,,
357,1/31/2023,06:50:22,,
700,3/11/2023,06:47:20,,
418,2/10/2023,08:01:19,,
609,1/26/2023,03:50:09,,
248,2/7/2023,18:25:39,,
25,2/25/2023,11:49:59,,
124,1/12/2023,07:49:40,,
100,3/23/2023,16:18:22,,
517,2/25/2023,13:38:44,,
63,1/4/2023,10:10:35,,
266,3/6/2023,14:09:07,,
585,2/16/2023,18:32:44,,
877,3/11/2023,01:27:55,,
25,2/24/2023,20:04:14,,
882,3/29/2023,16:03:15,,
281,2/2/2023,12:58:25,,
917,2/23/2023,14:11:31,,
93,3/24/2023,02:31:45,,
924,2/4/2023,14:18:50,,
801,1/15/2023,23:46:25,,
963,1/7/2023,05:49:31,,
32,2/21/2023,15:47:10,,
775,2/2/2023,02:40:31,,
833,1/28/2023,16:36:22,,
794,3/22/2023,14:38:04,,
780,2/15/2023,23:51:45,,
610,1/13/2023,11:53:43,,
27,2/9/2023,13:20:10,,
924,2/19/2023,13:09:09,,
62,2/14/2023,02:22:52,,
98,2/2/2023,01:09:05,,
603,2/23/2023,18:54:21,,
367,1/31/2023,19:15:05,,
5,2/21/2023,07:19:33,,
829,3/9/2023,07:11:46,,
664,3/30/2023,02:11:45,,
616,1/25/2023,20:42:59,,
259,3/15/2023,02:23:54,,
761,4/1/2023,06:26:00,,
178,2/15/2023,01:40:31,,
275,1/6/2023,15:27:52,,
518,3/15/2023,00:20:55,,
62,3/31/2023,21:27:39,,
295,1/23/2023,08:31:24,,
427,1/11/2023,15:03:55,,
837,3/8/2023,14:36:12,,
465,1/18/2023,10:53:16,,
695,3/22/2023,15:53:31,,
909,2/19/2023,15:05:17,,
61,2/17/2023,18:17:44,,
982,1/14/2023,16:12:19,,
663,2/21/2023,11:00:55,,
989,3/2/2023,00:36:34,,
554,2/8/2023,16:45:11,,
389,1/7/2023,09:44:55,,
685,2/5/2023,02:19:08,,
336,3/17/2023,15:46:09,,
875,1/15/2023,22:01:34,,
822,1/7/2023,20:10:04,,
161,3/1/2023,21:27:55,,
761,4/1/2023,23:18:26,,
923,1/21/2023,18:07:47,,
858,3/6/2023,03:07:41,,
115,1/29/2023,05:56:55,,
444,3/29/2023,15:21:52,,
408,3/24/2023,06:02:57,,
276,1/28/2023,00:13:50,,
329,2/1/2023,11:43:20,,
929,1/9/2023,21:01:21,,
5,2/19/2023,17:22:46,,
646,3/31/2023,02:58:32,,
797,1/23/2023,17:33:35,,
587,3/2/2023,08:35:55,,
230,1/21/2023,00:43:50,,
977,2/23/2023,02:35:09,,
376,1/24/2023,19:23:34,,
718,1/9/2023,18:08:14,,
203,3/14/2023,01:46:50,,
91,1/31/2023,22:55:54,,
642,1/30/2023,01:12:12,,
711,1/21/2023,04:37:51,,
567,1/3/2023,01:09:24,,
263,3/16/2023,21:57:24,,
71,1/21/2023,13:34:04,,
333,1/19/2023,00:39:25,,
665,2/18/2023,01:52:56,,
772,2/7/2023,04:42:18,,
185,1/23/2023,14:16:16,,
969,1/3/2023,04:58:45,,
120,2/16/2023,06:37:12,,
561,1/3/2023,06:05:49,,
75,3/18/2023,15:38:50,,
48,2/26/2023,07:12:49,,
729,2/14/2023,08:05:24,,
829,2/15/2023,11:05:00,,
121,3/12/2023,10:18:30,,
583,3/24/2023,03:50:37,,
875,3/12/2023,05:49:28,,
300,1/19/2023,21:03:19,,
736,1/8/2023,02:49:14,,
612,2/13/2023,09:53:39,,
764,2/6/2023,13:33:13,,
385,3/4/2023,23:53:28,,
771,1/12/2023,08:54:57,,
871,2/16/2023,12:10:18,,
225,3/19/2023,01:41:00,,
384,2/22/2023,04:21:58,,
698,1/6/2023,22:53:11,,
728,2/7/2023,17:33:38,,
134,2/16/2023,15:21:49,,
710,2/8/2023,16:31:12,,
698,2/1/2023,17:06:14,,
839,1/18/2023,16:34:02,,
195,2/8/2023,16:47:50,,
994,1/6/2023,10:50:46,,
167,1/27/2023,18:55:31,,
996,3/15/2023,01:52:56,,
443,1/10/2023,02:40:58,,
284,3/13/2023,21:03:26,,
766,2/25/2023,17:11:14,,
688,3/27/2023,01:23:24,,
854,1/3/2023,07:41:03,,
631,1/12/2023,08:31:18,,
217,3/4/2023,09:39:40,,
164,2/8/2023,16:20:54,,
725,1/16/2023,18:16:10,,
160,2/24/2023,07:28:32,,
860,3/8/2023,18:31:00,,
47,3/19/2023,08:36:47,,
846,1/14/2023,10:24:07,,
625,1/20/2023,16:12:41,,
786,2/22/2023,12:50:29,,
729,2/22/2023,13:25:10,,
849,3/13/2023,17:19:43,,
856,1/19/2023,22:43:25,,
314,2/5/2023,00:05:57,,
32,2/17/2023,03:33:26,,
578,3/16/2023,20:43:11,,
260,3/11/2023,13:48:06,,
177,3/2/2023,01:50:27,,
64,1/27/2023,02:35:57,,
425,1/17/2023,22:00:47,,
653,1/13/2023,19:07:48,,
885,1/12/2023,12:09:45,,
415,2/2/2023,00:52:58,,
473,2/10/2023,19:49:58,,
104,3/9/2023,18:32:56,,
18,1/2/2023,12:26:03,,
14,3/20/2023,09:17:49,,
886,1/5/2023,11:38:57,,
303,1/18/2023,23:25:20,,
548,3/15/2023,14:14:49,,
450,1/10/2023,23:22:17,,
446,2/14/2023,10:39:08,,
279,2/17/2023,02:51:01,,
862,1/17/2023,00:06:28,,
849,2/17/2023,16:36:45,,
299,2/21/2023,10:27:30,,
731,2/14/2023,01:12:15,,
251,2/5/2023,01:46:23,,
386,1/8/2023,05:37:45,,
32,1/3/2023,21:31:09,,
624,3/18/2023,06:31:20,,
912,1/19/2023,06:00:04,,
274,2/22/2023,13:21:25,,
332,2/13/2023,13:39:00,,
255,3/16/2023,20:30:59,,
842,1/9/2023,15:43:52,,
255,3/8/2023,21:44:27,,
815,3/12/2023,21:52:59,,
298,1/4/2023,21:40:03,,
403,3/15/2023,00:46:12,,
739,1/18/2023,13:42:05,,
591,2/28/2023,00:47:38,,
590,2/24/2023,20:39:21,,
957,1/20/2023,18:18:48,,
864,1/4/2023,16:43:35,,
881,3/22/2023,20:14:19,,
109,1/13/2023,14:27:52,,
643,2/6/2023,10:09:01,,
158,2/27/2023,03:19:58,,
325,1/27/2023,17:16:53,,
976,1/13/2023,17:00:05,,
980,2/23/2023,04:16:03,,
502,2/18/2023,08:42:13,,
526,1/27/2023,15:08:55,,
139,1/16/2023,23:48:22,,
600,3/12/2023,00:30:26,,
487,3/20/2023,15:49:54,,
671,3/23/2023,22:27:36,,
680,1/4/2023,04:53:53,,
580,2/18/2023,18:39:38,,
884,1/2/2023,05:52:46,,
254,2/10/2023,03:46:10,,
538,3/2/2023,23:04:39,,
986,1/10/2023,17:50:37,,
464,2/13/2023,12:10:15,,
67,3/11/2023,08:37:24,,
355,2/15/2023,18:55:17,,
686,2/21/2023,18:31:33,,
447,3/29/2023,21:38:14,,
584,3/31/2023,08:50:38,,
213,3/20/2023,22:23:04,,
841,2/3/2023,15:38:37,,
263,1/5/2023,17:23:26,,
695,3/22/2023,15:55:40,,
930,3/27/2023,02:32:54,,
359,3/13/2023,08:11:02,,
339,1/26/2023,00:03:04,,
352,3/12/2023,23:05:23,,
414,1/13/2023,15:53:32,,
345,1/24/2023,23:55:57,,
536,1/4/2023,05:26:57,,
529,1/11/2023,10:33:56,,
50,1/28/2023,21:50:54,,
184,1/3/2023,15:48:02,,
595,3/28/2023,13:59:28,,
721,2/3/2023,13:56:32,,
405,2/6/2023,14:27:19,,
972,3/18/2023,15:30:50,,
972,2/22/2023,16:07:08,,
383,1/12/2023,15:04:23,,
763,1/22/2023,20:00:55,,
231,1/14/2023,22:53:07,,
773,1/25/2023,17:51:43,,
408,2/7/2023,05:03:06,,
737,1/30/2023,17:48:08,,
394,1/3/2023,12:39:39,,
268,3/15/2023,16:05:28,,
1,2/20/2023,13:39:05,,
52,3/28/2023,10:16:43,,
372,1/27/2023,21:10:29,,
727,1/23/2023,13:48:20,,
899,1/27/2023,02:50:35,,
383,2/4/2023,03:59:05,,
657,1/8/2023,00:17:04,,
673,1/2/2023,10:56:51,,
541,1/19/2023,03:31:53,,
705,2/25/2023,02:07:00,,
733,2/26/2023,11:05:15,,
227,2/8/2023,19:33:25,,
591,1/28/2023,05:44:20,,
510,2/3/2023,03:59:48,,
352,2/14/2023,05:33:45,,
537,1/4/2023,08:47:03,,
159,1/22/2023,00:14:00,,
135,1/28/2023,16:07:10,,
363,3/14/2023,03:11:32,,
561,2/6/2023,12:51:24,,
569,2/24/2023,11:39:08,,
7,2/17/2023,19:34:59,,
388,3/6/2023,03:59:35,,
722,3/6/2023,10:15:17,,
855,1/6/2023,23:39:51,,
705,3/31/2023,09:25:59,,
42,3/7/2023,07:19:30,,
478,2/9/2023,21:23:08,,
499,1/10/2023,02:44:37,,
147,1/24/2023,05:12:01,,
727,3/29/2023,11:18:34,,
244,2/24/2023,21:40:17,,
511,2/3/2023,17:00:53,,
310,1/15/2023,20:32:43,,
902,1/9/2023,18:11:52,,
884,3/4/2023,15:11:55,,
68,1/29/2023,13:27:33,,
218,1/6/2023,13:48:14,,
54,3/16/2023,19:10:07,,
857,2/24/2023,16:49:19,,
736,1/7/2023,21:50:07,,
577,3/7/2023,23:16:58,,
902,3/11/2023,11:41:24,,
874,1/18/2023,14:40:59,,
739,3/7/2023,23:41:58,,
452,1/24/2023,10:06:32,,
548,1/9/2023,16:16:15,,
849,1/29/2023,01:08:59,,
998,2/11/2023,18:39:28,,
104,1/30/2023,19:12:09,,
395,1/29/2023,21:51:05,,
248,1/5/2023,13:02:41,,
338,3/28/2023,17:12:08,,
28,1/27/2023,22:52:59,,
961,1/4/2023,11:42:54,,
110,2/28/2023,08:40:39,,
202,3/19/2023,00:55:35,,
88,3/4/2023,12:10:49,,
577,1/18/2023,16:43:55,,
196,3/12/2023,04:32:52,,
380,1/3/2023,16:41:04,,
907,1/3/2023,05:36:16,,
392,1/28/2023,17:54:30,,
182,3/21/2023,01:56:01,,
46,3/29/2023,09:09:23,,
901,1/16/2023,07:02:56,,
959,1/22/2023,11:57:23,,
916,1/11/2023,01:35:20,,
571,3/2/2023,15:16:35,,
575,3/2/2023,11:01:53,,
713,1/22/2023,13:19:42,,
751,2/13/2023,00:34:58,,
99,2/17/2023,04:38:49,,
79,1/22/2023,06:07:01,,
598,2/14/2023,19:03:31,,
349,2/25/2023,06:32:30,,
421,3/31/2023,09:47:12,,
140,3/30/2023,01:57:32,,
502,3/14/2023,16:51:55,,
26,1/27/2023,11:03:25,,
948,2/20/2023,06:36:35,,
78,1/21/2023,03:10:29,,
411,1/24/2023,14:01:17,,
677,2/21/2023,07:30:57,,
163,3/24/2023,12:47:22,,
432,3/14/2023,14:55:33,,
898,1/21/2023,04:45:01,,
126,3/30/2023,09:28:20,,
500,2/22/2023,04:26:50,,
663,3/15/2023,09:26:42,,
533,2/18/2023,21:36:02,,
197,2/4/2023,05:55:01,,
601,3/17/2023,06:07:53,,
640,3/31/2023,20:48:27,,
416,2/6/2023,06:37:20,,
599,1/26/2023,10:23:10,,
666,3/15/2023,16:38:39,,
297,2/22/2023,19:31:54,,
75,1/25/2023,19:40:02,,
600,4/1/2023,05:07:50,,
336,2/26/2023,16:00:42,,
42,1/29/2023,09:15:02,,
31,3/17/2023,20:54:28,,
270,2/23/2023,03:12:15,,
214,1/23/2023,19:48:20,,
439,1/5/2023,13:22:17,,
833,3/1/2023,05:10:57,,
537,1/7/2023,04:45:20,,
519,3/20/2023,13:46:59,,
279,2/3/2023,16:46:55,,
757,3/17/2023,18:52:48,,
325,3/25/2023,05:51:42,,
309,3/28/2023,17:36:31,,
721,1/15/2023,03:28:31,,
715,2/1/2023,09:58:23,,
206,2/23/2023,02:14:45,,
77,1/22/2023,03:37:06,,
301,1/3/2023,07:20:15,,
954,3/26/2023,21:45:31,,
419,2/14/2023,04:33:02,,
551,1/21/2023,05:52:05,,
336,2/12/2023,18:57:32,,
858,3/22/2023,00:44:53,,
807,1/1/2023,01:22:50,,
284,2/10/2023,04:44:36,,
495,1/24/2023,17:42:49,,
785,1/24/2023,03:52:21,,
143,3/20/2023,09:54:39,,
609,1/2/2023,20:54:05,,
867,2/22/2023,14:25:12,,
397,1/16/2023,16:13:00,,
461,3/11/2023,09:15:19,,
653,4/1/2023,09:21:22,,
510,1/22/2023,03:16:13,,
957,3/5/2023,15:34:45,,
351,2/13/2023,15:19:26,,
179,3/6/2023,10:24:22,,
446,2/15/2023,19:53:22,,
309,1/16/2023,07:37:58,,
3,1/13/2023,13:06:38,,
835,1/21/2023,03:49:56,,
431,3/19/2023,02:16:50,,
213,3/4/2023,08:01:05,,
820,1/28/2023,05:34:57,,
59,2/28/2023,02:36:15,,
457,2/26/2023,07:17:45,,
823,1/1/2023,22:14:11,,
30,2/4/2023,05:53:55,,
906,3/11/2023,13:37:15,,
708,2/12/2023,20:21:26,,
982,2/1/2023,14:23:49,,
808,1/26/2023,10:13:14,,
536,2/22/2023,16:03:13,,
384,2/16/2023,18:57:22,,
728,1/30/2023,05:03:14,,
61,2/26/2023,23:16:27,,
352,1/7/2023,01:53:52,,
94,3/30/2023,06:30:32,,
348,1/14/2023,23:30:16,,
376,2/24/2023,21:13:12,,
763,2/2/2023,13:04:18,,
634,2/6/2023,04:58:44,,
402,2/1/2023,03:14:16,,
677,3/18/2023,23:06:39,,
124,1/19/2023,00:00:36,,
119,3/20/2023,05:48:49,,
604,1/1/2023,19:31:02,,
403,1/10/2023,22:40:16,,
754,3/31/2023,04:10:12,,
134,1/15/2023,02:50:46,,
215,3/7/2023,17:51:16,,
419,1/13/2023,19:14:06,,
494,2/21/2023,12:22:58,,
216,3/16/2023,00:22:15,,
353,1/24/2023,00:00:07,,
908,3/14/2023,09:17:37,,
905,1/17/2023,02:28:30,,
22,2/12/2023,00:14:30,,
534,1/31/2023,09:37:42,,
665,3/11/2023,22:02:58,,
902,3/26/2023,15:58:53,,
485,1/18/2023,23:44:59,,
237,3/18/2023,02:22:48,,
349,1/16/2023,07:02:58,,
2,3/19/2023,23:46:44,,
326,3/11/2023,05:39:41,,
340,1/30/2023,03:02:25,,
896,2/22/2023,08:40:18,,
695,2/23/2023,06:49:02,,
540,3/10/2023,06:43:14,,
217,3/22/2023,09:21:14,,
582,1/8/2023,09:56:33,,
66,3/23/2023,00:18:08,,
18,1/6/2023,11:29:56,,
906,2/20/2023,22:47:16,,
73,3/10/2023,03:49:37,,
478,2/4/2023,12:21:50,,
213,2/28/2023,21:08:04,,
113,2/17/2023,19:22:15,,
793,1/9/2023,14:29:45,,
905,1/28/2023,06:56:24,,
915,4/1/2023,12:14:37,,
588,1/26/2023,04:03:45,,
341,1/28/2023,03:44:29,,
